ID	Name	Length	AUPRC	diff.AUPRC
162	COG complex	8	0.9643	0.963313086802041
3522	COG complex	8	0.9643	0.963313086802041
3556	COG complex	8	0.9643	0.963313086802041
6435	HAUS augmin-like complex	8	0.9357	0.934862971945223
3551	COG1-COG8-COG2-COG3-COG4 subcomplex	5	0.9	0.899443981095357
3552	COG1-COG8-COG5-COG6-COG7 subcomplex	5	0.9	0.899443981095357
6389	HOPS complex	6	0.9	0.899443702714731
2174	COP9 signalosome complex	8	0.8499	0.848926527694701
186	Wave-2 complex	5	0.8346	0.834023428544457
1034	ORC 2-5 complex (origin recognition 2-5 complex)	4	0.8333	0.832916261179851
3525	Tetrameric COG subcomplex	4	0.8333	0.832916261179851
6463	GARP complex	4	0.8333	0.832916637729472
1101	transcription factor IIIC multisubunit complex	5	0.8253	0.824717687246903
1105	transcription factor IIIC multisubunit complex	5	0.8253	0.824717687246903
43	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)	4	0.8075	0.807122523393468
45	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)	4	0.8075	0.807122523393468
466	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)	4	0.8075	0.807122523393468
2891	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)	4	0.8075	0.807122523393468
7583	CDK8 subcomplex (CCNC, CDK8, MED12, MED13)	4	0.8075	0.807117117570319
6884	Fanconi anemia FAAP100 complex	10	0.8039	0.802696945359746
1624	FA core complex (Fanconi anemia core complex)	9	0.798	0.79686344444861
1152	FA complex (Fanconi anemia complex)	8	0.7697	0.768699051809014
2919	Respiratory chain complex I (gamma subunit) mitochondrial	13	0.7295	0.728511381010492
91	FA complex (Fanconi anemia complex), cytoplasmic	4	0.7073	0.706923151374371
1625	FA core complex (Fanconi anemia core complex)	7	0.695	0.694135965818377
1623	FA core complex 1 (Fanconi anemia core complex 1)	5	0.6736	0.673014129235357
3083	FA core complex 1 (Fanconi anemia core complex 1)	5	0.6736	0.673014129235357
267	9-1-1 complex	3	0.6667	0.666388115134633
271	9-1-1 complex	3	0.6667	0.666388115134633
275	9-1-1 complex	3	0.6667	0.666388115134633
276	9-1-1 complex	3	0.6667	0.666388115134633
359	DNA ligase IV-XRCC4-XLF complex	3	0.6667	0.666388528339205
656	VPS35-VPS29-VPS26A complex	3	0.6667	0.666388760228501
956	PAR-3-PAR-6B-PRKCI complex	3	0.6667	0.66638832189027
1032	ORC 2-4 complex (origin recognition 2-4 complex)	3	0.6667	0.666388528339205
2720	Casein kinase II (beta-dimer, alpha, alpha')	3	0.6667	0.66638873448212
2809	9-1-1 complex	3	0.6667	0.666388115134633
2818	BRCA1-BARD1-BRCA2-DNA damage complex III	3	0.6667	0.666385899235689
3529	COG5-COG6-COG7 subcomplex	3	0.6667	0.666388579903597
3544	COG2-COG3-COG4 subcomplex	3	0.6667	0.666388579903597
3545	COG5-COG6-COG7 subcomplex	3	0.6667	0.666388579903597
4478	CBF-DNA complex	3	0.6667	0.666388863166343
5224	Casein kinase II (beta-dimer, alpha, alpha')	3	0.6667	0.66638873448212
5244	Dolichol-phosphate mannose (DPM) synthase	3	0.6667	0.666388966027955
5735	TGF-beta receptor-SMAD3 complex	3	0.6667	0.66638751899755
6075	CST complex	3	0.6667	0.666388966027955
6780	RAD6A-KCMF1-UBR4 complex	3	0.6667	0.666388966027955
6848	IRF2BP2-IRF2BP1-IRF2BPL complex	3	0.6667	0.666388966027955
6885	L-B-P100 subcomplex	3	0.6667	0.666388115134633
6891	HUSH complex	3	0.6667	0.666388888888889
6974	Serine-palmitoyltransferase (SPTLC1, SPTLC2, ssSPTa) complex	3	0.6667	0.666388811706956
7584	CDK8 subcomplex (CCNC, CDK8, MED12)	3	0.6667	0.666384632258469
245	FA core complex (Fanconi anemia core complex)	9	0.6565	0.655412949194701
2179	CNS-P53 complex	9	0.6416	0.640515250355397
387	MCM complex	6	0.6346	0.633855029011596
261	RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex	5	0.6229	0.622338540980606
678	GINS complex	4	0.609	0.608552662664939
6332	Elongator complex (ELP1, ELP2, ELP3, ELP4, ELP5, ELP6)	6	0.6037	0.602980196217816
1377	hASC-1 complex	4	0.6007	0.60029240440468
562	LSm2-8 complex	7	0.5986	0.5977362342231
68	BCDX2 complex	4	0.5813	0.580932394956362
251	BCDX2 complex	4	0.5813	0.580932394956362
258	BCDX2 complex	4	0.5813	0.580932394956362
555	BAF complex	9	0.5776	0.576472647861267
2905	Respiratory chain complex I (intermediate), mitochondrial	11	0.5708	0.569575982858467
129	PIDDsome complex	3	0.5694	0.569166743805733
2734	APH1A-PSEN1-NCSTN complex	3	0.5694	0.569166306116983
6223	KRIT1-CCM2-ICAP1 complex	3	0.5694	0.56916664094412
7585	CDK8 subcomplex (CCNC, CDK8, MED13)	3	0.5694	0.569162489557226
2858	ING5 complex (ING5, JADE1, KAT7, MEAF6)	4	0.5674	0.567027633403973
178	Respiratory chain complex I (holoenzyme), mitochondrial	44	0.56	0.554843265808393
6639	CCC-Wash (WASH1, FAM21C) complex	15	0.5576	0.555790627707449
6645	CCC complex	13	0.5576	0.555790627707449
6754	KICSTOR complex	4	0.5436	0.542995877382165
2914	Respiratory chain complex I (beta subunit) mitochondrial	16	0.5332	0.531425326655394
3979	mTORC2 complex	4	0.5268	0.52642871017871
2904	Respiratory chain complex I (intermediate VII/650kD), mitochondrial	10	0.5173	0.516173343432325
6229	ULK1-ATG13-RB1CC1  complex	3	0.5139	0.51361072477206
1038	ORC 1-5 complex (origin recognition 1-5 complex)	5	0.5138	0.513232612470884
994	GAA1-GPI8-PIGT-PIG-PIGS complex	5	0.5084	0.507865720880427
6472	Bcl-2-Beclin1-UVRAG-PI(3)KC3 complex	5	0.5066	0.506034846641554
6232	ULK1-ATG13-RB1CC1-ATG101 complex	4	0.5038	0.503352711125236
7091	FIP200-ULK1-ATG13-ATG101 complex	4	0.5038	0.503352711125236
6886	AUP1-OS9-SEL1L-UBC6e-UBXD8 complex	5	0.5006	0.500075067325051
3010	TFIID subcomplex	5	0.5003	0.499728772336097
6216	GATOR2 complex	5	0.5003	0.499735234266997
