ID	Name	Length	AUPRC	diff.AUPRC
338	protein deneddylation	10	0.6908	0.690431923087992
16558	protein import into peroxisome matrix	13	0.5383	0.53780681260277
2098	tRNA wobble uridine modification	15	0.5122	0.511630720900732
6120	mitochondrial electron transport, NADH to ubiquinone	41	0.5075	0.505906347520292
46501	protoporphyrinogen IX metabolic process	11	0.4901	0.489729112729467
15919	peroxisomal membrane transport	18	0.4827	0.482046698981503
33141	positive regulation of peptidyl-serine phosphorylation of STAT protein	19	0.4713	0.470574261737783
10273	detoxification of copper ion	14	0.45	0.449428482184962
10257	NADH dehydrogenase complex assembly	56	0.4475	0.445386856840821
32981	mitochondrial respiratory chain complex I assembly	56	0.4475	0.445386856840821
44804	autophagy of nucleus	13	0.3999	0.399390035304894
16254	preassembly of GPI anchor in ER membrane	17	0.3998	0.399193891883837
97501	stress response to metal ion	16	0.3879	0.387265459428334
9396	folic acid-containing compound biosynthetic process	8	0.3607	0.360415321942746
90309	positive regulation of DNA methylation-dependent heterochromatin assembly	9	0.3461	0.34579572282984
6122	mitochondrial electron transport, ubiquinol to cytochrome c	12	0.3178	0.317342693047834
2323	natural killer cell activation involved in immune response	23	0.3138	0.312936856838623
6506	GPI anchor biosynthetic process	32	0.3098	0.308638822912198
6188	IMP biosynthetic process	10	0.3035	0.303164861506196
6505	GPI anchor metabolic process	33	0.2909	0.289671448875019
1904896	ESCRT complex disassembly	10	0.2833	0.282890996001585
1904903	ESCRT III complex disassembly	10	0.2833	0.282890996001585
70125	mitochondrial translational elongation	88	0.2641	0.260810576064437
70126	mitochondrial translational termination	88	0.2556	0.252336103730216
46040	IMP metabolic process	11	0.2509	0.250482298863238
32543	mitochondrial translation	107	0.2414	0.237349544012033
16233	telomere capping	15	0.2401	0.239538862138593
16226	iron-sulfur cluster assembly	19	0.2321	0.231410365504751
31453	positive regulation of heterochromatin assembly	11	0.2172	0.216742781957334
46485	ether lipid metabolic process	9	0.2118	0.21146593068708
6415	translational termination	96	0.2024	0.198736514228109
6744	ubiquinone biosynthetic process	14	0.1983	0.197799753092742
71294	cellular response to zinc ion	23	0.1976	0.196723706980034
727	double-strand break repair via break-induced replication	11	0.1964	0.195992428295466
33108	mitochondrial respiratory chain complex assembly	88	0.1924	0.189110025178923
42775	mitochondrial ATP synthesis coupled electron transport	73	0.1909	0.188083576240974
42773	ATP synthesis coupled electron transport	74	0.1903	0.187515912788693
1904262	negative regulation of TORC1 signaling	13	0.1816	0.181104396480854
45799	positive regulation of chromatin assembly or disassembly	12	0.1802	0.179734277899635
8535	respiratory chain complex IV assembly	24	0.1614	0.160562084420671
1682	tRNA 5'-leader removal	12	0.1601	0.159693134853595
9168	purine ribonucleoside monophosphate biosynthetic process	17	0.1601	0.159499845128749
9113	purine nucleobase biosynthetic process	13	0.1545	0.154049820369768
6743	ubiquinone metabolic process	16	0.151	0.150376606073716
7220	Notch receptor processing	10	0.148	0.147600760988186
6414	translational elongation	113	0.1441	0.139796848192047
32802	low-density lipoprotein particle receptor catabolic process	10	0.1432	0.142789181146698
15012	heparan sulfate proteoglycan biosynthetic process	23	0.1418	0.140976015183311
6119	oxidative phosphorylation	85	0.139	0.135761899373062
6662	glycerol ether metabolic process	11	0.139	0.138623706987687
97428	protein maturation by iron-sulfur cluster transfer	10	0.1356	0.135282141259399
17004	cytochrome complex assembly	34	0.1316	0.130346253716794
51255	spindle midzone assembly	12	0.1314	0.130921086390318
90383	phagosome acidification	28	0.1283	0.12725905502426
6488	dolichol-linked oligosaccharide biosynthetic process	19	0.1278	0.127117617360916
715	nucleotide-excision repair, DNA damage recognition	23	0.1248	0.123854015552357
22904	respiratory electron transport chain	92	0.1245	0.12092930155563
6123	mitochondrial electron transport, cytochrome c to oxygen	16	0.1239	0.123282405413638
33617	mitochondrial cytochrome c oxidase assembly	21	0.121	0.120244053024852
35999	tetrahydrofolate interconversion	10	0.12	0.119603490229635
42559	pteridine-containing compound biosynthetic process	13	0.1173	0.116859090789283
30970	retrograde protein transport, ER to cytosol	16	0.1171	0.116543553630864
6614	SRP-dependent cotranslational protein targeting to membrane	94	0.1161	0.112417890885674
