ID	Name	Length	AUPRC	diff.AUPRC
6332	Elongator complex (ELP1, ELP2, ELP3, ELP4, ELP5, ELP6)	6	0.8905	0.889888774591745
6389	HOPS complex	6	0.872	0.871453661880833
162	COG complex	8	0.8432	0.842163886090137
3522	COG complex	8	0.8432	0.842163886090137
3556	COG complex	8	0.8432	0.842163886090137
6463	GARP complex	4	0.8333	0.832908975175048
261	RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex	5	0.7611	0.760575240046957
3551	COG1-COG8-COG2-COG3-COG4 subcomplex	5	0.7397	0.739120537285866
3552	COG1-COG8-COG5-COG6-COG7 subcomplex	5	0.733	0.732423514666243
43	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)	4	0.7232	0.722807484317079
45	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)	4	0.7232	0.722807484317079
466	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)	4	0.7232	0.722807484317079
2891	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)	4	0.7232	0.722807484317079
1624	FA core complex (Fanconi anemia core complex)	9	0.7091	0.707955066687265
6884	Fanconi anemia FAAP100 complex	10	0.7073	0.70602235465748
1152	FA complex (Fanconi anemia complex)	8	0.6978	0.696832528707327
267	9-1-1 complex	3	0.6667	0.666382978723404
271	9-1-1 complex	3	0.6667	0.666382978723404
275	9-1-1 complex	3	0.6667	0.666382978723404
276	9-1-1 complex	3	0.6667	0.666382978723404
612	CTF18-CTF8-DCC1 complex	3	0.6667	0.666383246732798
956	PAR-3-PAR-6B-PRKCI complex	3	0.6667	0.666383193171439
1380	Elongator holo complex	4	0.6667	0.666383701188455
2720	Casein kinase II (beta-dimer, alpha, alpha')	3	0.6667	0.66638362109633
2806	CTF18-CTF8-DCC1 complex	3	0.6667	0.666383246732798
2809	9-1-1 complex	3	0.6667	0.666382978723404
3529	COG5-COG6-COG7 subcomplex	3	0.6667	0.666383460775984
3544	COG2-COG3-COG4 subcomplex	3	0.6667	0.666383460775984
3545	COG5-COG6-COG7 subcomplex	3	0.6667	0.666383460775984
5224	Casein kinase II (beta-dimer, alpha, alpha')	3	0.6667	0.66638362109633
