ID	Name	Length	AUPRC	diff.AUPRC
16558	protein import into peroxisome matrix	13	0.5852	0.584709373612742
15919	peroxisomal membrane transport	18	0.5179	0.517222959844046
32543	mitochondrial translation	107	0.4428	0.43876161593211
6120	mitochondrial electron transport, NADH to ubiquinone	41	0.4361	0.434562068615673
70125	mitochondrial translational elongation	88	0.4339	0.430568084087688
70126	mitochondrial translational termination	88	0.4239	0.420562303753626
2098	tRNA wobble uridine modification	15	0.4091	0.408578069069635
10257	NADH dehydrogenase complex assembly	56	0.4041	0.401979793174269
32981	mitochondrial respiratory chain complex I assembly	56	0.4041	0.401979793174269
6415	translational termination	96	0.3625	0.358844869983902
6188	IMP biosynthetic process	10	0.3091	0.30872425457265
42773	ATP synthesis coupled electron transport	74	0.2873	0.284407977821644
42775	mitochondrial ATP synthesis coupled electron transport	73	0.2834	0.280611096322945
6414	translational elongation	113	0.2711	0.266790409204181
9396	folic acid-containing compound biosynthetic process	8	0.2637	0.263456710167237
46040	IMP metabolic process	11	0.2529	0.252536470284971
33108	mitochondrial respiratory chain complex assembly	88	0.2444	0.241021220340287
338	protein deneddylation	10	0.2383	0.237981640637549
6119	oxidative phosphorylation	85	0.2232	0.219931365142175
22904	respiratory electron transport chain	92	0.1987	0.195065220766377
33141	positive regulation of peptidyl-serine phosphorylation of STAT protein	19	0.1861	0.185374092407234
6122	mitochondrial electron transport, ubiquinol to cytochrome c	12	0.1806	0.180175158797821
46501	protoporphyrinogen IX metabolic process	11	0.1761	0.17569710066061
70127	tRNA aminoacylation for mitochondrial protein translation	7	0.1731	0.172821120296817
9168	purine ribonucleoside monophosphate biosynthetic process	17	0.1621	0.161440648832443
9113	purine nucleobase biosynthetic process	13	0.159	0.158464475099347
44804	autophagy of nucleus	13	0.1501	0.149593939373866
10273	detoxification of copper ion	14	0.1472	0.146627540563146
16254	preassembly of GPI anchor in ER membrane	17	0.1264	0.125815691890076
1682	tRNA 5'-leader removal	12	0.1256	0.125149627286958
46485	ether lipid metabolic process	9	0.1246	0.124314785285089
6614	SRP-dependent cotranslational protein targeting to membrane	94	0.1181	0.114442806668511
2323	natural killer cell activation involved in immune response	23	0.1179	0.117014986132294
6488	dolichol-linked oligosaccharide biosynthetic process	19	0.1114	0.110678153203708
6613	cotranslational protein targeting to membrane	98	0.1098	0.106036723133781
70734	histone H3-K27 methylation	8	0.1076	0.107272888858986
9156	ribonucleoside monophosphate biosynthetic process	31	0.1061	0.104873018273457
106074	aminoacyl-tRNA metabolism involved in translational fidelity	8	0.1033	0.103068944064744
45333	cellular respiration	140	0.1028	0.0972577408725797
43039	tRNA aminoacylation	28	0.1007	0.0996178714918516
6085	acetyl-CoA biosynthetic process	14	0.0996	0.099123849749158
6490	oligosaccharide-lipid intermediate biosynthetic process	20	0.0994	0.098632990306449
