"","ID","Name","Length","AUPRC_depmap","AUPRC_gin","AUPRC_bionic","subtract_bionic_depmap_auprc","subtract_bionic_gin_auprc","subtract_depmap_gin_auprc","Fraction_mito","Mito_genes","Fraction_essential","Essential_genes"
"1",1,"BCL6-HDAC4 complex",2,1e-04,0.001,0.001,9e-04,0,-9e-04,0,"",0,""
"2",2,"BCL6-HDAC5 complex",2,1e-04,2e-04,3e-04,2e-04,1e-04,-1e-04,0,"",0,""
"3",3,"BCL6-HDAC7 complex",2,2e-04,0.0017,1e-04,-1e-04,-0.0016,-0.0015,0,"",0,""
"4",4,"Multisubunit ACTR coactivator complex",4,0.0116,8e-04,6e-04,-0.011,-2e-04,0.0108,0.25,"CREBBP",0,""
"5",10,"Condensin I complex",5,0.0266,0.0012,0.1053,0.0787,0.1041,0.0254,0,"",0.6,"SMC2;NCAPG;SMC4"
"6",11,"BLOC-3 (biogenesis of lysosome-related organelles complex 3)",2,0.0192,1e-04,2e-04,-0.019,1e-04,0.0191,0,"",0,""
"7",12,"BLOC-2 (biogenesis of lysosome-related organelles complex 2)",3,0.0087,0.0012,4e-04,-0.0083,-8e-04,0.0075,0,"",0,""
"8",13,"MUS81-CDS1 complex",2,2e-04,0.0022,1e-04,-1e-04,-0.0021,-0.002,0,"",0,""
"9",15,"NCOR complex",6,0.2187,0.0995,0.3238,0.1051,0.2243,0.1192,0.333333333333333,"TBL1X;TBL1XR1",0.166666666666667,"HDAC3"
"10",23,"BLOC-1 (biogenesis of lysosome-related organelles complex 1)",8,0.0085,0.0559,0.0152,0.0067,-0.0407,-0.0474,0.125,"BLOC1S1",0,""
"11",27,"Arp2/3 protein complex",7,0.4185,0.2012,0.4309,0.0124,0.2297,0.2173,0,"",0.142857142857143,"ACTR2"
"12",30,"PA28 complex",2,6e-04,2e-04,2e-04,-4e-04,0,4e-04,0,"",0,""
"13",32,"PA700 complex",20,0.0438,0.1438,0.1053,0.0615,-0.0385,-0.1,0,"",0.65,"PSMD11;PSMD14;PSMD3;PSMC3;PSMC2;PSMD7;PSMD4;PSMC5;PSMC6;PSMD2;PSMD6;PSMD1;PSMD13"
"14",33,"Prefoldin complex",6,0.3727,0.437,0.4182,0.0455,-0.0188,-0.0643,0,"",0.333333333333333,"PFDN6;PFDN2"
"15",36,"AP1 adaptor complex",8,0.0449,0.0375,0.2994,0.2545,0.2619,0.0074,0,"",0,""
"16",41,"Mi-2/NuRD-MTA3 complex",5,0.0025,8e-04,9e-04,-0.0016,9.99999999999999e-05,0.0017,0,"",0,""
"17",43,"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)",4,0.7232,0.01,0.8075,0.0843,0.7975,0.7132,0,"",0,""
"18",45,"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)",4,0.7232,0.01,0.8075,0.0843,0.7975,0.7132,0,"",0,""
"19",49,"DNMT3B complex",7,0.0021,0.0019,0.0128,0.0107,0.0109,2e-04,0,"",0.285714285714286,"SMC2;SMC4"
"20",50,"RAB5-RABAPTIN5\u2013RABEX5 complex",3,0.0022,0.0015,3e-04,-0.0019,-0.0012,7e-04,0,"",0,""
"21",54,"SIN3 complex",7,0.0053,0.0093,0.0032,-0.0021,-0.0061,-0.004,0,"",0.142857142857143,"SAP18"
"22",55,"HDAC4-ERK1 complex",2,1e-04,2e-04,1e-04,0,-1e-04,-1e-04,0,"",0,""
"23",57,"HDAC4-ERK2 complex",2,1e-04,0.0057,3e-04,2e-04,-0.0054,-0.0056,0,"",0,""
"24",58,"SMRT complex",5,0.21,0.0434,0.3874,0.1774,0.344,0.1666,0.4,"TBL1X;TBL1XR1",0.2,"HDAC3"
"25",59,"AP3 adaptor complex",7,0.0018,0.0027,0.001,-8e-04,-0.0017,-9e-04,0,"",0,""
"26",60,"Interferon-stimulated gene factor 3 transcription complex ISGF3",3,0.1059,3e-04,0.1376,0.0317,0.1373,0.1056,0,"",0,""
"27",61,"Mi2/NuRD complex",7,0.0096,0.0027,0.0227,0.0131,0.02,0.0069,0,"",0.142857142857143,"CHD4"
"28",62,"MeCP1 complex",8,0.0102,0.0026,0.027,0.0168,0.0244,0.0076,0,"",0.125,"CHD4"
"29",63,"Cohesin-SA1 complex",4,0.007,0.0067,0.0535,0.0465,0.0468,3e-04,0,"",0.75,"RAD21;SMC1A;SMC3"
"30",64,"Cohesin-SA2 complex",4,0.0416,0.0177,0.0822,0.0406,0.0645,0.0239,0,"",0.75,"RAD21;SMC1A;SMC3"
"31",66,"TRAP complex",8,0.1118,0.0391,0.1147,0.0029,0.0756,0.0727,0.125,"MED1",0.125,"MED17"
"32",67,"AP4 adaptor complex",4,0.0012,8e-04,0.0043,0.0031,0.0035,4e-04,0,"",0,""
"33",68,"BCDX2 complex",4,0.6416,0.0323,0.5813,-0.0602999999999999,0.549,0.6093,0,"",0,""
"34",71,"MRN complex (MRE11-RAD50-NBN complex)",3,0,0.024,0.0565,0.0565,0.0325,-0.024,0,"",0,""
"35",72,"R/M complex (RAD50-MRE11 complex)",2,NA,0.0833,4e-04,NA,-0.0829,NA,0,"",0,""
"36",73,"MRN complex (MRE11-RAD50-NBN complex)",3,0,0.024,0.0565,0.0565,0.0325,-0.024,0,"",0,""
"37",74,"HOMER3-IP3R-TRPC1 complex",3,3e-04,2e-04,4e-04,1e-04,2e-04,1e-04,0,"",0,""
"38",75,"TSC1-TSC2 complex",2,0,0,0,0,0,0,0,"",0,""
"39",80,"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)",4,0.001,0.0035,0.0031,0.0021,-4e-04,-0.0025,0,"",0.25,"CUL1"
"40",81,"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)",4,8e-04,4e-04,6e-04,-2e-04,2e-04,4e-04,0,"",0,""
"41",86,"NUMAC complex (nucleosomal methylation activator complex)",10,0.151,0.123,0.3227,0.1717,0.1997,0.028,0.1,"CARM1",0.1,"SMARCB1"
"42",87,"Nup 107-160 subcomplex",9,0.0841,0.0044,0.1871,0.103,0.1827,0.0797,0,"",0.555555555555556,"SEC13;NUP43;NUP133;SEH1L;NUP85"
"43",89,"Exocyst Sec6/8 complex",8,0.3141,0.0311,0.4723,0.1582,0.4412,0.283,0,"",0,""
"44",91,"FA complex (Fanconi anemia complex), cytoplasmic",4,0.5466,0.6462,0.7073,0.1607,0.0611,-0.0996,0,"",0,""
"45",92,"CD28-transactivation complex",2,7e-04,8e-04,1e-04,-6e-04,-7e-04,-1e-04,0,"",0,""
"46",93,"Anaphase-promoting complex",8,0.019,0.0026,0.0101,-0.0089,0.0075,0.0164,0,"",0.625,"CDC27;CDC16;CDC23;ANAPC4;ANAPC2"
"47",94,"SNF2H-BAZ1A complex",2,4e-04,0.0019,3e-04,-1e-04,-0.0016,-0.0015,0,"",0,""
"48",95,"Ku antigen-NARG1 complex",3,4e-04,4e-04,2e-04,-2e-04,-2e-04,0,0,"",0.666666666666667,"XRCC6;NAA15"
"49",96,"Anaphase-promoting complex",9,0.0186,0.0021,0.0091,-0.0095,0.007,0.0165,0,"",0.555555555555556,"CDC27;CDC16;CDC23;ANAPC4;ANAPC2"
"50",98,"p300-MDM2-p53 protein complex",3,2e-04,2e-04,2e-04,0,0,0,0,"",0,""
"51",100,"hNURF complex",4,3e-04,6e-04,0.0011,8e-04,5e-04,-3e-04,0,"",0,""
"52",103,"RNA polymerase II holoenzyme complex",24,0.0147,0.0089,0.0105,-0.0042,0.0016,0.0058,0,"",0.458333333333333,"POLR2D;POLR2C;POLR2E;GTF2E1;POLR2B;POLR2I;POLR2K;POLR2F;POLR2G;POLR2L;GTF2B"
"53",104,"RNA polymerase II core complex",12,0.0241,0.0055,0.0386,0.0145,0.0331,0.0186,0,"",0.75,"POLR2D;POLR2C;POLR2E;POLR2B;POLR2I;POLR2K;POLR2F;POLR2G;POLR2L"
"54",105,"Polycomb repressive complex 2 (PRC 2)",5,0.2007,0.2007,0.2012,5e-04,5e-04,0,0,"",0,""
"55",107,"TFIIH transcription factor complex",9,0.019,0.0047,0.1631,0.1441,0.1584,0.0143,0,"",0.333333333333333,"CDK7;CCNH;MNAT1"
"56",112,"Prefoldin complex",6,0.3727,0.437,0.4182,0.0455,-0.0188,-0.0643,0,"",0.333333333333333,"PFDN6;PFDN2"
"57",114,"SNAPc (small nuclear RNA-activating protein) complex",5,0.2358,0.0136,0.5002,0.2644,0.4866,0.2222,0,"",0.8,"SNAPC5;SNAPC2;SNAPC1;SNAPC3"
"58",115,"Polycomb repressive complex 1 (PRC1, hPRC-H)",12,0.0167,0.0089,0.037,0.0203,0.0281,0.0078,0,"",0,""
"59",116,"Polycomb repressive complex 1 (PRC1, hPRC-H)",13,0.0126,0.0078,0.0265,0.0139,0.0187,0.0048,0,"",0,""
"60",117,"GPR56-CD81-Galpha(q/11)-Gbeta complex",5,9e-04,3e-04,6e-04,-3e-04,3e-04,6e-04,0,"",0,""
"61",118,"GPI-GnT activity complex",4,0.0775,0.1706,0.0928,0.0153,-0.0778,-0.0931,0,"",0,""
"62",120,"Lymphotoxin beta receptor complex",3,6e-04,5e-04,9e-04,3e-04,4e-04,9.99999999999999e-05,0,"",0,""
"63",123,"Rnase/Mrp complex",10,0.1667,0.0035,0.1872,0.0205,0.1837,0.1632,0,"",0.5,"RPP40;RPP14;RPP30;POP5;RPP21"
"64",126,"CCT complex (chaperonin containing TCP1 complex)",8,0.0257,0.0944,0.0221,-0.0036,-0.0723,-0.0687,0,"",0.625,"TCP1;CCT5;CCT3;CCT4;CCT2"
"65",127,"NDC80 kinetochore complex",4,0.0104,0.0034,0.0399,0.0295,0.0365,0.007,0,"",1,"NDC80;SPC24;NUF2;SPC25"
"66",129,"PIDDsome complex",3,0.3214,0.0625,0.5694,0.248,0.5069,0.2589,0,"",0,""
"67",138,"Telomere-associated protein complex",6,0.2405,0.0128,0.3213,0.0808,0.3085,0.2277,0,"",0.333333333333333,"TERF2;TINF2"
"68",140,"E-box sequence-binding complex",4,0.042,8e-04,3e-04,-0.0417,-5e-04,0.0412,0,"",0,""
"69",142,"CD147-gamma-secretase complex",5,0.4344,0.0024,0.4852,0.0508,0.4828,0.432,0.2,"BSG",0,""
"70",143,"APP-APBB1-LRP1 complex",3,0.0011,2e-04,2e-04,-9e-04,0,9e-04,0,"",0,""
"71",144,"Gamma-BAR-AP1 complex",9,0.0356,0.042,0.2341,0.1985,0.1921,-0.0064,0,"",0,""
"72",149,"PBAF complex (Polybromo- and BAF containing complex)",10,0.1029,0.1677,0.2743,0.1714,0.1066,-0.0648,0,"",0.2,"ACTL6A;SMARCB1"
"73",152,"TFIIE complex",2,0.0039,0.0015,1e-04,-0.0038,-0.0014,0.0024,0,"",0.5,"GTF2E1"
"74",153,"TFIIF complex (transcription factor IIF)",2,0.003,0.003,1e-04,-0.0029,-0.0029,0,0,"",0,""
"75",155,"TFIID complex",9,0.0701,0.042,0.2387,0.1686,0.1967,0.0281,0,"",0.222222222222222,"TAF6;TAF5"
"76",156,"Retrotranslocation complex",3,0.0068,0.0018,0.0835,0.0767,0.0817,0.005,0,"",0,""
"77",157,"Condensin I complex",5,0.0266,0.0012,0.1053,0.0787,0.1041,0.0254,0,"",0.6,"SMC2;NCAPG;SMC4"
"78",159,"Condensin I-PARP-1-XRCC1 complex",7,0.014,0.0021,0.0536,0.0396,0.0515,0.0119,0,"",0.428571428571429,"SMC2;NCAPG;SMC4"
"79",160,"Condensin II",5,0.2209,0.2015,0.3024,0.0815,0.1009,0.0194,0,"",0.6,"SMC2;NCAPD3;SMC4"
"80",162,"COG complex",8,0.8432,0.4909,0.9643,0.1211,0.4734,0.3523,0,"",0.125,"COG3"
"81",163,"Cohesin-SA2 complex",4,0.0416,0.0177,0.0822,0.0406,0.0645,0.0239,0,"",0.75,"RAD21;SMC1A;SMC3"
"82",164,"Cohesin-SA1 complex",4,0.007,0.0067,0.0535,0.0465,0.0468,3e-04,0,"",0.75,"RAD21;SMC1A;SMC3"
"83",165,"Cohesin-SA1 complex",4,0.007,0.0067,0.0535,0.0465,0.0468,3e-04,0,"",0.75,"RAD21;SMC1A;SMC3"
"84",166,"Cohesin-SA2 complex",4,0.0416,0.0177,0.0822,0.0406,0.0645,0.0239,0,"",0.75,"RAD21;SMC1A;SMC3"
"85",167,"Condensin I complex",5,0.0266,0.0012,0.1053,0.0787,0.1041,0.0254,0,"",0.6,"SMC2;NCAPG;SMC4"
"86",173,"MRN complex (MRE11-RAD50-NBN complex)",3,0,0.024,0.0565,0.0565,0.0325,-0.024,0,"",0,""
"87",177,"OGT-TRAK1-TRAK2 complex",3,2e-04,6e-04,5e-04,3e-04,-9.99999999999999e-05,-4e-04,0,"",0.333333333333333,"OGT"
"88",178,"Respiratory chain complex I (holoenzyme), mitochondrial",44,0.4711,0.5587,0.56,0.0889,0.00130000000000008,-0.0876,1,"NDUFS8;NDUFA4;NDUFAB1;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFS7;NDUFS2;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFA3;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFA10;NDUFB10;MT-ND1;MT-ND2;MT-ND3;MT-ND4L;MT-ND5;MT-ND6;NDUFB7;NDUFV2;NDUFS1;NDUFV1;NDUFA8;NDUFV3;NDUFA6;NDUFA5;NDUFA9;NDUFA11;NDUFB11;NDUFA13;NDUFA12;NDUFB9",0,""
"89",180,"PNUTS-PP1 complex",2,2e-04,NA,1e-04,-1e-04,NA,NA,0,"",0.5,"PPP1R10"
"90",181,"26S proteasome",22,0.0706,0.0218,0.0663,-0.0043,0.0445,0.0488,0,"",0.818181818181818,"PSMA7;PSMC3;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMC2;PSMB3;PSMB2;PSMD4;PSMA6;PSMC5;PSMC6;PSMD13"
"91",186,"Wave-2 complex",5,0.1498,0.1754,0.8346,0.6848,0.6592,-0.0256,0,"",0,""
"92",189,"BAF complex",13,0.1067,0.1028,0.2672,0.1605,0.1644,0.0039,0,"",0.153846153846154,"ACTL6A;SMARCB1"
"93",190,"Mitotic checkpoint complex (MCC)",4,0.0061,3e-04,0.004,-0.0021,0.0037,0.0058,0,"",0.75,"BUB3;BUB1B;CDC20"
"94",191,"20S proteasome",14,0.0905,0.0098,0.0899,-0.000600000000000003,0.0801,0.0807,0,"",0.857142857142857,"PSMA7;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6"
"95",192,"PA28-20S proteasome",16,0.0711,0.0083,0.0701,-0.001,0.0618,0.0628,0,"",0.75,"PSMA7;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6"
"96",193,"PA700-20S-PA28 complex",36,0.0698,0.0587,0.0726,0.0028,0.0139,0.0111,0,"",0.694444444444444,"PSMD11;PSMD14;PSMA7;PSMD3;PSMC3;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMC2;PSMB3;PSMB2;PSMD7;PSMD4;PSMA6;PSMC5;PSMC6;PSMD2;PSMD6;PSMD1;PSMD13"
"97",194,"PA28gamma-20S proteasome",15,0.0791,0.0117,0.0761,-0.003,0.0644,0.0674,0,"",0.8,"PSMA7;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6"
"98",201,"HUIC complex",2,0,0.0035,0,0,-0.0035,-0.0035,0,"",0,""
"99",202,"BRCA1-RAD50-MRE11-NBS1 complex",4,0.1304,0.0285,0.0287,-0.1017,0.000199999999999999,0.1019,0,"",0,""
"100",205,"Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2, RBX1)",5,0.0841,0.0013,2e-04,-0.0839,-0.0011,0.0828,0,"",0.2,"VHL"
"101",206,"DNA ligase IV-XRCC4 complex",2,0,0,0,0,0,0,0,"",0,""
"102",207,"Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)",5,1e-04,0.0011,4e-04,3e-04,-7e-04,-0.001,0,"",0,""
"103",208,"Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7)",5,5e-04,0.0014,0.0011,6e-04,-3e-04,-9e-04,0,"",0,""
"104",209,"Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7)",5,0.0018,0.0012,7e-04,-0.0011,-5e-04,6e-04,0,"",0,""
"105",210,"Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7)",5,2e-04,0.0019,4e-04,2e-04,-0.0015,-0.0017,0,"",0,""
