"","ID","Name","Length","AUPRC_depmap","AUPRC_gin","AUPRC_bionic","subtract_bionic_depmap_auprc","subtract_bionic_gin_auprc","subtract_depmap_gin_auprc","Fraction_mito","Mito_genes","Fraction_essential","Essential_genes"
"1",10001,"glial cell differentiation",174,0.0078,0.0077,0.0078,0,9.99999999999994e-05,9.99999999999994e-05,0.0459770114942529,"AKT1;AKT2;BNIP3;BOK;PICK1;SLC25A46;SLC8A3;SOD1",0.0172413793103448,"EIF2B2;EIF2B3;SOD1"
"2",10002,"cardioblast differentiation",11,5e-04,6e-04,6e-04,9.99999999999999e-05,0,-9.99999999999999e-05,0,"",0,""
"3",10039,"response to iron ion",33,0.0014,0.0014,0.0014,0,0,0,0.121212121212121,"ABAT;BCL2;CPOX;FXN",0,""
"4",10042,"response to manganese ion",18,8e-04,8e-04,8e-04,0,0,0,0.111111111111111,"D2HGDH;TSPO",0.111111111111111,"EIF2S1;HSPA5"
"5",10043,"response to zinc ion",53,0.0034,0.0019,0.032,0.0286,0.0301,0.0015,0.0943396226415094,"CPS1;CREB1;D2HGDH;OTC;TSPO",0,""
"6",10092,"specification of animal organ identity",17,9e-04,8e-04,8e-04,-9.99999999999999e-05,0,9.99999999999999e-05,0.117647058823529,"MEF2C;SMARCD3",0,""
"7",10155,"regulation of proton transport",20,9e-04,9e-04,8e-04,-9.99999999999999e-05,-9.99999999999999e-05,0,0.45,"COX17;DNAJC30;PARK7;PHB2;PM20D1;PPIF;SPHK2;TACO1;TCIRG1",0.05,"PHB2"
"8",10165,"response to X-ray",29,0.0169,0.0025,0.0173,0.000400000000000001,0.0148,0.0144,0.0344827586206897,"CASP3",0.0689655172413793,"DNM2;XRCC6"
"9",10171,"body morphogenesis",43,0.0021,0.002,0.0018,-3e-04,-2e-04,9.99999999999998e-05,0,"",0.0232558139534884,"ATP6AP2"
"10",10212,"response to ionizing radiation",134,0.0076,0.0089,0.0082,0.000600000000000001,-0.000699999999999999,-0.0013,0.0746268656716418,"BAK1;BAX;BCL2;BCL2L1;CASP3;GPX1;MAPK14;POLB;POLG;STAR",0.082089552238806,"DNM2;ECT2;HSPA5;INTS3;INTS7;MYC;RAD9A;RPL26;RRM1;TICRR;XRCC6"
"11",10224,"response to UV-B",17,8e-04,8e-04,8e-04,0,0,0,0.0588235294117647,"BCL2",0,""
"12",10225,"response to UV-C",16,0.001,6e-04,7e-04,-3e-04,1e-04,4e-04,0.0625,"BAK1",0,""
"13",10226,"response to lithium ion",23,0.001,0.0011,0.0014,4e-04,3e-04,-1e-04,0,"",0,""
"14",10232,"vascular transport",11,5e-04,5e-04,5e-04,0,0,0,0,"",0,""
"15",10248,"establishment or maintenance of transmembrane electrochemical gradient",14,7e-04,0.0023,0.0034,0.0027,0.0011,-0.0016,0.357142857142857,"ATP12A;ATP4A;ATP4B;BAK1;BAX",0.0714285714285714,"ATP1A1"
"16",10257,"NADH dehydrogenase complex assembly",56,0.4041,0.4703,0.4475,0.0434,-0.0228,-0.0662,1,"ACAD9;BCS1L;COA1;ECSIT;FOXRED1;NDUFA1;NDUFA10;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFAF1;NDUFAF2;NDUFAF3;NDUFAF4;NDUFAF5;NDUFAF6;NDUFAF7;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NDUFV3;NUBPL;OXA1L;TAZ;TIMM21;TIMMDC1;TMEM126A;TMEM126B",0,""
"17",10259,"multicellular organism aging",33,0.0015,0.0015,0.0018,3e-04,3e-04,0,0.0909090909090909,"COQ7;IDE;NDUFS6",0,""
"18",10273,"detoxification of copper ion",14,0.1472,0.0101,0.45,0.3028,0.4399,0.1371,0.0714285714285714,"PARK7",0,""
"19",10288,"response to lead ion",23,0.0035,0.0065,0.0119,0.0084,0.0054,-0.003,0.217391304347826,"CAT;CPOX;FECH;QDPR;STAR",0.0434782608695652,"PPP2CA"
"20",10310,"regulation of hydrogen peroxide metabolic process",19,9e-04,7e-04,8e-04,-9.99999999999999e-05,1e-04,2e-04,0.210526315789474,"MPV17L;NNT;PINK1;PRDX2",0,""
