ID	Name	Length	AUPRC	diff.AUPRC
6463	GARP complex	4	0.8333	0.832900120336943
6389	HOPS complex	6	0.8154	0.814834556328395
3525	Tetrameric COG subcomplex	4	0.7581	0.757701206597043
6754	KICSTOR complex	4	0.7371	0.736525306934871
6075	CST complex	3	0.6667	0.666377899701608
6459	EARP complex	4	0.6667	0.666377816291161
6891	HUSH complex	3	0.6667	0.666377816291161
91	FA complex (Fanconi anemia complex), cytoplasmic	4	0.6462	0.645795565075226
1623	FA core complex 1 (Fanconi anemia core complex 1)	5	0.6417	0.641113932417525
3083	FA core complex 1 (Fanconi anemia core complex 1)	5	0.6417	0.641113932417525
245	FA core complex (Fanconi anemia core complex)	9	0.6033	0.602280062793671
3552	COG1-COG8-COG5-COG6-COG7 subcomplex	5	0.5779	0.577331618507101
1152	FA complex (Fanconi anemia complex)	8	0.5747	0.573692237080683
1624	FA core complex (Fanconi anemia core complex)	9	0.5747	0.573692237080683
6884	Fanconi anemia FAAP100 complex	10	0.5747	0.573692237080683
3529	COG5-COG6-COG7 subcomplex	3	0.5694	0.569155259944734
3545	COG5-COG6-COG7 subcomplex	3	0.5694	0.569155259944734
4478	CBF-DNA complex	3	0.5694	0.569155566254748
6889	TSC complex	3	0.5694	0.569155510610292
178	Respiratory chain complex I (holoenzyme), mitochondrial	44	0.5587	0.553654407349116
2919	Respiratory chain complex I (gamma subunit) mitochondrial	13	0.5417	0.540637947109569
1625	FA core complex (Fanconi anemia core complex)	7	0.4952	0.49436122088901
162	COG complex	8	0.4909	0.489889096485667
3522	COG complex	8	0.4909	0.489889096485667
3556	COG complex	8	0.4909	0.489889096485667
563	F1F0-ATP synthase, mitochondrial	16	0.4649	0.463348109009771
3551	COG1-COG8-COG2-COG3-COG4 subcomplex	5	0.4625	0.46188165418152
2903	Respiratory chain complex I (intermediate V/380kD and VI/480kD), mitochondrial	5	0.4624	0.461996480891364
2905	Respiratory chain complex I (intermediate), mitochondrial	11	0.4567	0.455417071119914
2914	Respiratory chain complex I (beta subunit) mitochondrial	16	0.4533	0.451657660450629
33	Prefoldin complex	6	0.437	0.436301570890369
112	Prefoldin complex	6	0.437	0.436301570890369
2898	Respiratory chain complex I (intermediate I/200kD and III/250kD), mitochondrial	3	0.4056	0.405263896990516
2901	Respiratory chain complex I (intermediate IV/310kD), mitochondrial	4	0.4056	0.405263896990516
2904	Respiratory chain complex I (intermediate VII/650kD), mitochondrial	10	0.3889	0.387766581159806
559	Decapping complex	5	0.3594	0.358926665730248
2739	FA complex (Fanconi anemia complex)	11	0.3578	0.356327475977321
3979	mTORC2 complex	4	0.3335	0.333072360000384
6639	CCC-Wash (WASH1, FAM21C) complex	15	0.3222	0.320323788915744
6645	CCC complex	13	0.3222	0.320323788915744
2948	Respiratory chain complex I (incomplete intermediate), mitochondrial	11	0.2974	0.295896137972815
2255	Cofilin-actin-CAP1 complex	3	0.2815	0.281189595900629
3544	COG2-COG3-COG4 subcomplex	3	0.2688	0.268560021849496
2920	Respiratory chain complex I (lambda subunit) mitochondrial	16	0.2642	0.262002749843635
7545	BORC complex	8	0.2631	0.262666258263316
897	CDK8-CyclinC-Mediator complex	2	0.25	0.249853006026753
2723	ATM-NBN complex	2	0.25	0.249854841050951
555	BAF complex	9	0.2408	0.239665789200387
710	Brg1-associated complex I	9	0.237	0.235809743329929
807	BRG1-associated complex	9	0.237	0.235809743329929
1237	BAF complex	9	0.237	0.235804291977237
