ID	Name	Length	AUPRC	diff.AUPRC
10257	NADH dehydrogenase complex assembly	56	0.4703	0.468210077633035
32981	mitochondrial respiratory chain complex I assembly	56	0.4703	0.468210077633035
6120	mitochondrial electron transport, NADH to ubiquinone	41	0.4638	0.462265626544087
16558	protein import into peroxisome matrix	13	0.417	0.416469115551409
16254	preassembly of GPI anchor in ER membrane	17	0.3883	0.387745303108143
9396	folic acid-containing compound biosynthetic process	8	0.3204	0.320157172735162
15919	peroxisomal membrane transport	18	0.314	0.313321945546119
33108	mitochondrial respiratory chain complex assembly	88	0.2759	0.272639294848439
35999	tetrahydrofolate interconversion	10	0.2303	0.229967927559041
46501	protoporphyrinogen IX metabolic process	11	0.228	0.227647815501932
1904262	negative regulation of TORC1 signaling	13	0.2096	0.209080673415402
42775	mitochondrial ATP synthesis coupled electron transport	73	0.2033	0.200666691082979
42773	ATP synthesis coupled electron transport	74	0.1992	0.196516213600618
6506	GPI anchor biosynthetic process	32	0.1812	0.180077332002297
6505	GPI anchor metabolic process	33	0.1699	0.168722474035302
46655	folic acid metabolic process	18	0.1675	0.166867415443865
6119	oxidative phosphorylation	85	0.1557	0.152553151687971
22904	respiratory electron transport chain	92	0.1336	0.130109020321245
46653	tetrahydrofolate metabolic process	17	0.1223	0.121631492204159
42559	pteridine-containing compound biosynthetic process	13	0.1156	0.115140316652635
70734	histone H3-K27 methylation	8	0.1074	0.107153748626361
6760	folic acid-containing compound metabolic process	26	0.1064	0.105473292435355
6744	ubiquinone biosynthetic process	14	0.1041	0.103591184277216
90309	positive regulation of DNA methylation-dependent heterochromatin assembly	9	0.0987	0.0983320563871739
6085	acetyl-CoA biosynthetic process	14	0.0899	0.089350397702857
32543	mitochondrial translation	107	0.0833	0.0792292911878673
6488	dolichol-linked oligosaccharide biosynthetic process	19	0.0826	0.0819223648827969
70126	mitochondrial translational termination	88	0.0824	0.0790504421557312
70125	mitochondrial translational elongation	88	0.0812	0.0778918574153497
42558	pteridine-containing compound metabolic process	32	0.0806	0.0794507381920934
9113	purine nucleobase biosynthetic process	13	0.0799	0.0793938872178749
6743	ubiquinone metabolic process	16	0.0797	0.0790879970130141
6415	translational termination	96	0.0763	0.07255342156114
6337	nucleosome disassembly	18	0.0745	0.0738196634100842
6490	oligosaccharide-lipid intermediate biosynthetic process	20	0.0736	0.0729315908468667
45333	cellular respiration	140	0.0727	0.0673174250950664
32007	negative regulation of TOR signaling	37	0.0657	0.0640270835427138
31453	positive regulation of heterochromatin assembly	11	0.0653	0.0648988098740499
1904851	positive regulation of establishment of protein localization to telomere	10	0.0648	0.0644664868695204
36297	interstrand cross-link repair	49	0.0624	0.0605470379801455
6188	IMP biosynthetic process	10	0.0613	0.0609306914852239
32986	protein-DNA complex disassembly	20	0.0602	0.0593778254724724
72425	signal transduction involved in G2 DNA damage checkpoint	10	0.0573	0.0568547725299678
46485	ether lipid metabolic process	9	0.0568	0.0564622838401317
46040	IMP metabolic process	11	0.0565	0.0561207218538951
35542	regulation of SNARE complex assembly	9	0.0561	0.055743273600958
6783	heme biosynthetic process	22	0.0556	0.0547174214906848
45799	positive regulation of chromatin assembly or disassembly	12	0.0546	0.0540899218124121
22900	electron transport chain	156	0.0536	0.0475596913495186
70129	regulation of mitochondrial translation	25	0.0516	0.0506526955178634
6414	translational elongation	113	0.0494	0.0450729139870061
46034	ATP metabolic process	167	0.0465	0.0400582270365415
2000601	positive regulation of Arp2/3 complex-mediated actin nucleation	10	0.0459	0.0455131787624336
6662	glycerol ether metabolic process	11	0.0454	0.0450804627807158
70862	negative regulation of protein exit from endoplasmic reticulum	10	0.0449	0.0445661561945493
1904816	positive regulation of protein localization to chromosome, telomeric region	12	0.0435	0.0430434658728129
15012	heparan sulfate proteoglycan biosynthetic process	23	0.0416	0.0407610402017408
34314	Arp2/3 complex-mediated actin nucleation	16	0.0408	0.0401808603970353
15980	energy derivation by oxidation of organic compounds	202	0.0401	0.032060094856867
6779	porphyrin-containing compound biosynthetic process	26	0.04	0.0389778110743323
8535	respiratory chain complex IV assembly	24	0.0366	0.0357290698266791
70202	regulation of establishment of protein localization to chromosome	12	0.0355	0.0350591348915083
16233	telomere capping	15	0.0346	0.0340324357997126
17004	cytochrome complex assembly	34	0.0341	0.0329223797049462
70131	positive regulation of mitochondrial translation	16	0.0341	0.0335492878292087
6099	tricarboxylic acid cycle	34	0.0323	0.0309400759005478
90200	positive regulation of release of cytochrome c from mitochondria	28	0.0323	0.031072725655142
34198	cellular response to amino acid starvation	41	0.0321	0.0303154708969088
30970	retrograde protein transport, ER to cytosol	16	0.0313	0.0306848061402046
33617	mitochondrial cytochrome c oxidase assembly	21	0.0309	0.0301770916676139
6750	glutathione biosynthetic process	13	0.0308	0.0303747657637491
42168	heme metabolic process	31	0.0302	0.029029373799657
44804	autophagy of nucleus	13	0.0301	0.0296404277106595
289	nuclear-transcribed mRNA poly(A) tail shortening	19	0.0298	0.0290407051259704
1904874	positive regulation of telomerase RNA localization to Cajal body	15	0.0287	0.0280750348492142
6730	one-carbon metabolic process	38	0.0276	0.0261178187139758
9168	purine ribonucleoside monophosphate biosynthetic process	17	0.0274	0.0267558567161807
9247	glycolipid biosynthetic process	65	0.0273	0.0248472778979443
9086	methionine biosynthetic process	12	0.0271	0.0266641307042006
1904152	regulation of retrograde protein transport, ER to cytosol	13	0.0271	0.0265993048276878
30201	heparan sulfate proteoglycan metabolic process	29	0.0267	0.0255234412103781
725	recombinational repair	94	0.0263	0.0225242603710363
1990928	response to amino acid starvation	44	0.0261	0.0242447686614176
6891	intra-Golgi vesicle-mediated transport	31	0.0259	0.0246906716974339
97502	mannosylation	31	0.0258	0.0246458675369614
6144	purine nucleobase metabolic process	22	0.0257	0.0248287604042263
724	double-strand break repair via homologous recombination	93	0.0249	0.0211346325299084
1903432	regulation of TORC1 signaling	33	0.0249	0.0234794446308206
16601	Rac protein signal transduction	20	0.0233	0.0224232387143059
1901661	quinone metabolic process	32	0.0231	0.0218896022704349
32984	protein-containing complex disassembly	225	0.023	0.0139831953453949
34315	regulation of Arp2/3 complex-mediated actin nucleation	20	0.0227	0.021860439752435
32008	positive regulation of TOR signaling	39	0.0219	0.0202821459432097
6302	double-strand break repair	169	0.0218	0.0149018428412253
1904380	endoplasmic reticulum mannose trimming	15	0.0218	0.0212169878719116
10847	regulation of chromatin assembly	19	0.0214	0.0206271491164129
6625	protein targeting to peroxisome	68	0.0208	0.0181009271898069
72663	establishment of protein localization to peroxisome	68	0.0208	0.0181009271898069
6778	porphyrin-containing compound metabolic process	38	0.0205	0.0190113021809959
6888	endoplasmic reticulum to Golgi vesicle-mediated transport	191	0.0201	0.0126559112761799
6448	regulation of translational elongation	18	0.02	0.0193549627130077
6084	acetyl-CoA metabolic process	30	0.0197	0.018538546752874
1904293	negative regulation of ERAD pathway	14	0.0194	0.0189050991726264
2000765	regulation of cytoplasmic translation	27	0.0194	0.0182504991753754
398	mRNA splicing, via spliceosome	282	0.0187	0.00792556623421979
6310	DNA recombination	196	0.0178	0.00989926926337158
32006	regulation of TOR signaling	88	0.0178	0.0139970529690381
32211	negative regulation of telomere maintenance via telomerase	18	0.0177	0.0170059322299565
48490	anterograde synaptic vesicle transport	16	0.0174	0.0167719996291855
65002	intracellular protein transmembrane transport	50	0.0173	0.015387869908026
6497	protein lipidation	85	0.0172	0.013938618956774
43039	tRNA aminoacylation	28	0.0172	0.0161629721338177
7031	peroxisome organization	78	0.0164	0.0132945539139109
9156	ribonucleoside monophosphate biosynthetic process	31	0.0164	0.015252303245857
42254	ribosome biogenesis	270	0.0164	0.00643603859531163
97	sulfur amino acid biosynthetic process	16	0.0161	0.015620226189099
45010	actin nucleation	26	0.0161	0.0150186501012705
42158	lipoprotein biosynthetic process	90	0.0159	0.0124247914273329
1672	regulation of chromatin assembly or disassembly	24	0.0155	0.01450470881883
338	protein deneddylation	10	0.0154	0.0150819084903029
6487	protein N-linked glycosylation	76	0.0151	0.0122258478453363
6890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	80	0.015	0.0118094002042621
36508	protein alpha-1,2-demannosylation	19	0.0149	0.0141887536635653
6661	phosphatidylinositol biosynthetic process	108	0.0148	0.0104787794767739
10603	regulation of cytoplasmic mRNA processing body assembly	9	0.0148	0.014513752076785
44770	cell cycle phase transition	281	0.0146	0.00303105723480694
97345	mitochondrial outer membrane permeabilization	13	0.0145	0.0139845462154038
45814	negative regulation of gene expression, epigenetic	57	0.0144	0.0122041863456485
44772	mitotic cell cycle phase transition	273	0.0143	0.00300890639521191
6614	SRP-dependent cotranslational protein targeting to membrane	94	0.0141	0.0112523968791485
6613	cotranslational protein targeting to membrane	98	0.014	0.0110450581166191
6401	RNA catabolic process	237	0.0139	0.00533019698525338
956	nuclear-transcribed mRNA catabolic process	186	0.0137	0.00712042048351487
9060	aerobic respiration	70	0.0136	0.0109099157636882
10592	positive regulation of lamellipodium assembly	24	0.0135	0.0124602815556451
46677	response to antibiotic	292	0.0134	0.000269008252560524
80009	mRNA methylation	14	0.0134	0.0128723356065364
90068	positive regulation of cell cycle process	276	0.0133	0.00132819956084636
6260	DNA replication	201	0.0131	0.00497927319096401
6402	mRNA catabolic process	206	0.0131	0.00573231516892143
184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	116	0.013	0.0092765033805802
6664	glycolipid metabolic process	105	0.0129	0.00883516626438622
42149	cellular response to glucose starvation	42	0.0129	0.0110397862542183
60537	muscle tissue development	289	0.0129	0.00029316031936959
60828	regulation of canonical Wnt signaling pathway	280	0.0129	0.000689573002180621
7030	Golgi organization	121	0.0128	0.00835928776644099
70646	protein modification by small protein removal	264	0.0128	0.00198716780080155
2793	positive regulation of peptide secretion	289	0.0127	0.000227762897841178
6418	tRNA aminoacylation for protein translation	26	0.0127	0.0117804161310745
50890	cognition	288	0.0127	8.91455253549493e-05
45765	regulation of angiogenesis	280	0.0126	0.000117605112178237
48511	rhythmic process	268	0.0126	0.000719625150694255
70372	regulation of ERK1 and ERK2 cascade	278	0.0126	0.000351202879448733
7059	chromosome segregation	250	0.0125	0.0023562091021491
33146	regulation of intracellular estrogen receptor signaling pathway	37	0.0125	0.0108731467930565
71230	cellular response to amino acid stimulus	64	0.0125	0.00970867200215596
97190	apoptotic signaling pathway	275	0.0125	0.000521791406974467
7204	positive regulation of cytosolic calcium ion concentration	285	0.0124	0.000177479308280232
9416	response to light stimulus	287	0.0124	0.000266061894010445
31647	regulation of protein stability	270	0.0124	0.000860492688552365
50768	negative regulation of neurogenesis	274	0.0124	0.000334080349118795
3012	muscle system process	286	0.0123	0.000215438000104335
6555	methionine metabolic process	16	0.0123	0.0117558416683364
16072	rRNA metabolic process	207	0.0123	0.00464989926519551
31668	cellular response to extracellular stimulus	250	0.0123	0.0013312611977594
33523	histone H2B ubiquitination	10	0.0123	0.0119491210836316
43928	exonucleolytic catabolism of deadenylated mRNA	32	0.0123	0.0110062883744747
50808	synapse organization	280	0.0123	0.000231864866308017
6364	rRNA processing	197	0.0122	0.00496480238303264
14706	striated muscle tissue development	275	0.0122	0.000256830052616395
16579	protein deubiquitination	248	0.0122	0.00196529150471143
2000027	regulation of animal organ morphogenesis	252	0.0122	0.000814601866805769
6695	cholesterol biosynthetic process	40	0.0121	0.0105089337206413
10976	positive regulation of neuron projection development	273	0.0121	0.000119446371420636
34976	response to endoplasmic reticulum stress	244	0.0121	0.00199924943624274
1822	kidney development	264	0.012	0.000291250064657418
2479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	73	0.012	0.00903543220004904
7517	muscle organ development	278	0.012	0.00019215418166166
7599	hemostasis	285	0.012	0.000414730231938774
7162	negative regulation of cell adhesion	269	0.0119	0.000209735349022558
50817	coagulation	282	0.0119	0.000439591283230298
70838	divalent metal ion transport	287	0.0119	7.16741162831679e-05
71375	cellular response to peptide hormone stimulus	263	0.0119	0.000442950619482138
97485	neuron projection guidance	269	0.0119	0.000284843537275373
6413	translational initiation	138	0.0118	0.00735264305671479
7411	axon guidance	268	0.0118	0.000283164511616515
7596	blood coagulation	280	0.0118	0.000423790684750493
19083	viral transcription	112	0.0118	0.00827288518146523
42157	lipoprotein metabolic process	119	0.0118	0.00715679729471893
