	id	name	num_neighborhoods_enriched	top	num_connected_components	size_connected_components	num_large_connected_components	domain
0	0	GO:0000002 mitochondrial genome maintenance	34.0	False	30	[5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]	0	0
1	1	GO:0000003 reproduction	0.0	False	0		0	0
2	2	GO:0000012 single strand break repair	0.0	False	0		0	0
3	3	GO:0000017 alpha-glucoside transport	0.0	False	0		0	0
4	4	GO:0000018 regulation of DNA recombination	0.0	False	0		0	0
5	5	GO:0000019 regulation of mitotic recombination	0.0	False	0		0	0
6	6	GO:0000022 mitotic spindle elongation	0.0	False	0		0	0
7	7	GO:0000023 maltose metabolic process	0.0	False	0		0	0
8	8	GO:0000027 ribosomal large subunit assembly	0.0	False	0		0	0
9	9	GO:0000028 ribosomal small subunit assembly	0.0	False	0		0	0
10	10	GO:0000032 cell wall mannoprotein biosynthetic process	0.0	False	0		0	0
11	11	GO:0000038 very long-chain fatty acid metabolic process	26.0	True	1	[26]	1	34
12	12	GO:0000041 transition metal ion transport	12.0	False	5	[8 1 1 1 1]	0	0
13	13	GO:0000045 autophagosome assembly	95.0	True	1	[95]	1	2
14	14	GO:0000050 urea cycle	0.0	False	0		0	0
15	15	GO:0000052 citrulline metabolic process	0.0	False	0		0	0
16	16	GO:0000053 argininosuccinate metabolic process	0.0	False	0		0	0
17	17	GO:0000054 ribosomal subunit export from nucleus	0.0	False	0		0	0
18	18	GO:0000055 ribosomal large subunit export from nucleus	0.0	False	0		0	0
19	19	GO:0000056 ribosomal small subunit export from nucleus	0.0	False	0		0	0
20	20	GO:0000070 mitotic sister chromatid segregation	120.0	True	1	[120]	1	24
21	21	GO:0000075 cell cycle checkpoint signaling	51.0	False	5	[47  1  1  1  1]	1	0
22	22	GO:0000076 DNA replication checkpoint signaling	0.0	False	0		0	0
23	23	GO:0000077 DNA damage checkpoint signaling	63.0	False	9	[55  1  1  1  1  1  1  1  1]	1	0
24	24	GO:0000079 regulation of cyclin-dependent protein serine/threonine kinase activity	0.0	False	0		0	0
25	25	GO:0000080 mitotic G1 phase	0.0	False	0		0	0
26	26	GO:0000082 G1/S transition of mitotic cell cycle	126.0	True	1	[126]	1	21
27	27	GO:0000083 regulation of transcription involved in G1/S transition of mitotic cell cycle	0.0	False	0		0	0
28	28	GO:0000086 G2/M transition of mitotic cell cycle	169.0	False	10	[160   1   1   1   1   1   1   1   1   1]	1	0
29	29	GO:0000096 sulfur amino acid metabolic process	0.0	False	0		0	0
30	30	GO:0000097 sulfur amino acid biosynthetic process	69.0	True	1	[69]	1	35
31	31	GO:0000098 sulfur amino acid catabolic process	0.0	False	0		0	0
32	32	GO:0000101 sulfur amino acid transport	0.0	False	0		0	0
33	33	GO:0000103 sulfate assimilation	0.0	False	0		0	0
34	34	GO:0000105 histidine biosynthetic process	0.0	False	0		0	0
35	35	GO:0000117 regulation of transcription involved in G2/M transition of mitotic cell cycle	0.0	False	0		0	0
36	36	GO:0000132 establishment of mitotic spindle orientation	0.0	False	0		0	0
37	37	GO:0000154 rRNA modification	28.0	False	11	[18  1  1  1  1  1  1  1  1  1  1]	1	0
38	38	GO:0000160 phosphorelay signal transduction system	0.0	False	0		0	0
39	39	GO:0000165 MAPK cascade	22.0	False	5	[18  1  1  1  1]	1	0
40	40	GO:0000183 rDNA heterochromatin assembly	17.0	True	1	[17]	1	19
41	41	GO:0000184 nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	95.0	True	1	[95]	1	2
42	42	GO:0000185 activation of MAPKKK activity	0.0	False	0		0	0
43	43	GO:0000186 activation of MAPKK activity	16.0	False	16	[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]	0	0
44	44	GO:0000187 activation of MAPK activity	24.0	False	6	[18  2  1  1  1  1]	1	0
45	45	GO:0000188 inactivation of MAPK activity	0.0	False	0		0	0
46	46	GO:0000209 protein polyubiquitination	21.0	False	2	[19  2]	1	0
47	47	GO:0000212 meiotic spindle organization	0.0	False	0		0	0
48	48	GO:0000226 microtubule cytoskeleton organization	232.0	True	1	[232]	1	24
49	49	GO:0000244 spliceosomal tri-snRNP complex assembly	0.0	False	0		0	0
50	50	GO:0000245 spliceosomal complex assembly	0.0	False	0		0	0
51	51	GO:0000256 allantoin catabolic process	0.0	False	0		0	0
52	52	GO:0000266 mitochondrial fission	0.0	False	0		0	0
53	53	GO:0000272 polysaccharide catabolic process	0.0	False	0		0	0
54	54	GO:0000278 mitotic cell cycle	180.0	True	1	[180]	1	24
55	55	GO:0000280 nuclear division	0.0	False	0		0	0
56	56	GO:0000281 mitotic cytokinesis	47.0	False	47	"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1]"	0	0
57	57	GO:0000288 nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	0.0	False	0		0	0
58	58	GO:0000289 nuclear-transcribed mRNA poly(A) tail shortening	38.0	False	7	[32  1  1  1  1  1  1]	1	0
59	59	GO:0000290 deadenylation-dependent decapping of nuclear-transcribed mRNA	3.0	False	0		0	0
60	60	GO:0000291 nuclear-transcribed mRNA catabolic process, exonucleolytic	71.0	False	17	[55  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]	1	0
61	61	GO:0000294 nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay	0.0	False	0		0	0
62	62	GO:0000296 spermine transport	0.0	False	0		0	0
63	63	GO:0000301 retrograde transport, vesicle recycling within Golgi	0.0	False	0		0	0
64	64	GO:0000302 response to reactive oxygen species	0.0	False	0		0	0
65	65	GO:0000303 response to superoxide	0.0	False	0		0	0
66	66	GO:0000304 response to singlet oxygen	0.0	False	0		0	0
67	67	GO:0000305 response to oxygen radical	0.0	False	0		0	0
68	68	GO:0000320 re-entry into mitotic cell cycle	0.0	False	0		0	0
69	69	GO:0000338 protein deneddylation	0.0	False	0		0	0
70	70	GO:0000349 generation of catalytic spliceosome for first transesterification step	0.0	False	0		0	0
71	71	GO:0000350 generation of catalytic spliceosome for second transesterification step	0.0	False	0		0	0
72	72	GO:0000354 cis assembly of pre-catalytic spliceosome	0.0	False	0		0	0
73	73	GO:0000375 RNA splicing, via transesterification reactions	5.0	False	0		0	0
74	74	GO:0000378 RNA exon ligation	0.0	False	0		0	0
75	75	GO:0000379 tRNA-type intron splice site recognition and cleavage	0.0	False	0		0	0
76	76	GO:0000380 alternative mRNA splicing, via spliceosome	0.0	False	0		0	0
77	77	GO:0000381 regulation of alternative mRNA splicing, via spliceosome	0.0	False	0		0	0
78	78	GO:0000387 spliceosomal snRNP assembly	0.0	False	0		0	0
79	79	GO:0000388 spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)	0.0	False	0		0	0
80	80	GO:0000389 mRNA 3'-splice site recognition	0.0	False	0		0	0
81	81	GO:0000390 spliceosomal complex disassembly	0.0	False	0		0	0
82	82	GO:0000395 mRNA 5'-splice site recognition	0.0	False	0		0	0
83	83	GO:0000398 mRNA splicing, via spliceosome	52.0	False	9	[29  9  6  2  2  1  1  1  1]	1	0
84	84	GO:0000413 protein peptidyl-prolyl isomerization	0.0	False	0		0	0
85	85	GO:0000414 regulation of histone H3-K36 methylation	0.0	False	0		0	0
86	86	GO:0000415 negative regulation of histone H3-K36 methylation	0.0	False	0		0	0
87	87	GO:0000416 positive regulation of histone H3-K36 methylation	0.0	False	0		0	0
88	88	GO:0000422 autophagy of mitochondrion	95.0	True	1	[95]	1	2
89	89	GO:0000423 mitophagy	12.0	False	12	[1 1 1 1 1 1 1 1 1 1 1 1]	0	0
90	90	GO:0000425 pexophagy	0.0	False	0		0	0
91	91	GO:0000430 regulation of transcription from RNA polymerase II promoter by glucose	0.0	False	0		0	0
92	92	GO:0000432 positive regulation of transcription from RNA polymerase II promoter by glucose	0.0	False	0		0	0
93	93	GO:0000435 positive regulation of transcription from RNA polymerase II promoter by galactose	0.0	False	0		0	0
94	94	GO:0000436 carbon catabolite activation of transcription from RNA polymerase II promoter	0.0	False	0		0	0
95	95	GO:0000447 endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.0	False	0		0	0
96	96	GO:0000448 cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.0	False	0		0	0
97	97	GO:0000451 rRNA 2'-O-methylation	0.0	False	0		0	0
98	98	GO:0000453 enzyme-directed rRNA 2'-O-methylation	0.0	False	0		0	0
99	99	GO:0000454 snoRNA guided rRNA pseudouridine synthesis	0.0	False	0		0	0
100	100	GO:0000455 enzyme-directed rRNA pseudouridine synthesis	0.0	False	0		0	0
101	101	GO:0000459 exonucleolytic trimming involved in rRNA processing	0.0	False	0		0	0
102	102	GO:0000460 maturation of 5.8S rRNA	0.0	False	0		0	0
103	103	GO:0000461 endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.0	False	0		0	0
104	104	GO:0000462 maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.0	False	0		0	0
105	105	GO:0000463 maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.0	False	0		0	0
106	106	GO:0000466 maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.0	False	0		0	0
107	107	GO:0000467 exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.0	False	0		0	0
108	108	GO:0000469 cleavage involved in rRNA processing	0.0	False	0		0	0
109	109	GO:0000470 maturation of LSU-rRNA	0.0	False	0		0	0
110	110	GO:0000472 endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.0	False	0		0	0
111	111	GO:0000478 endonucleolytic cleavage involved in rRNA processing	0.0	False	0		0	0
112	112	GO:0000479 endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.0	False	0		0	0
113	113	GO:0000480 endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.0	False	0		0	0
114	114	GO:0000481 maturation of 5S rRNA	0.0	False	0		0	0
115	115	GO:0000491 small nucleolar ribonucleoprotein complex assembly	0.0	False	0		0	0
116	116	GO:0000492 box C/D snoRNP assembly	0.0	False	0		0	0
117	117	GO:0000493 box H/ACA snoRNP assembly	0.0	False	0		0	0
118	118	GO:0000494 box C/D RNA 3'-end processing	0.0	False	0		0	0
119	119	GO:0000495 box H/ACA RNA 3'-end processing	0.0	False	0		0	0
120	120	GO:0000578 embryonic axis specification	0.0	False	0		0	0
121	121	GO:0000706 meiotic DNA double-strand break processing	0.0	False	0		0	0
122	122	GO:0000707 meiotic DNA recombinase assembly	0.0	False	0		0	0
123	123	GO:0000710 meiotic mismatch repair	0.0	False	0		0	0
124	124	GO:0000711 meiotic DNA repair synthesis	0.0	False	0		0	0
125	125	GO:0000712 resolution of meiotic recombination intermediates	51.0	True	1	[51]	1	1
126	126	GO:0000715 nucleotide-excision repair, DNA damage recognition	7.0	False	0		0	0
127	127	GO:0000717 nucleotide-excision repair, DNA duplex unwinding	2.0	False	0		0	0
128	128	GO:0000718 nucleotide-excision repair, DNA damage removal	0.0	False	0		0	0
129	129	GO:0000719 photoreactive repair	0.0	False	0		0	0
130	130	GO:0000720 pyrimidine dimer repair by nucleotide-excision repair	0.0	False	0		0	0
131	131	GO:0000722 telomere maintenance via recombination	50.0	False	5	[46  1  1  1  1]	1	0
132	132	GO:0000723 telomere maintenance	77.0	True	1	[77]	1	1
133	133	GO:0000724 double-strand break repair via homologous recombination	124.0	True	1	[124]	1	1
134	134	GO:0000725 recombinational repair	0.0	False	0		0	0
135	135	GO:0000727 double-strand break repair via break-induced replication	0.0	False	0		0	0
136	136	GO:0000729 DNA double-strand break processing	79.0	True	1	[79]	1	1
137	137	GO:0000730 DNA recombinase assembly	0.0	False	0		0	0
138	138	GO:0000731 DNA synthesis involved in DNA repair	0.0	False	0		0	0
139	139	GO:0000732 strand displacement	0.0	False	0		0	0
140	140	GO:0000735 removal of nonhomologous ends	0.0	False	0		0	0
141	141	GO:0000737 DNA catabolic process, endonucleolytic	0.0	False	0		0	0
142	142	GO:0000738 DNA catabolic process, exonucleolytic	0.0	False	0		0	0
143	143	GO:0000768 syncytium formation by plasma membrane fusion	28.0	False	28	[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]	0	0
144	144	GO:0000819 sister chromatid segregation	120.0	True	1	[120]	1	24
145	145	GO:0000820 regulation of glutamine family amino acid metabolic process	0.0	False	0		0	0
146	146	GO:0000821 regulation of arginine metabolic process	0.0	False	0		0	0
147	147	GO:0000902 cell morphogenesis	87.0	True	1	[87]	1	13
148	148	GO:0000904 cell morphogenesis involved in differentiation	69.0	True	1	[69]	1	13
149	149	GO:0000910 cytokinesis	0.0	False	0		0	0
150	150	GO:0000912 assembly of actomyosin apparatus involved in cytokinesis	0.0	False	0		0	0
151	151	GO:0000915 actomyosin contractile ring assembly	0.0	False	0		0	0
152	152	GO:0000916 actomyosin contractile ring contraction	0.0	False	0		0	0
153	153	GO:0000917 division septum assembly	0.0	False	0		0	0
154	154	GO:0000921 septin ring assembly	0.0	False	0		0	0
155	155	GO:0000956 nuclear-transcribed mRNA catabolic process	164.0	False	23	"[123  11   4   4   4   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1]"	2	0
156	156	GO:0000957 mitochondrial RNA catabolic process	0.0	False	0		0	0
157	157	GO:0000958 mitochondrial mRNA catabolic process	132.0	True	1	[132]	1	28
158	158	GO:0000959 mitochondrial RNA metabolic process	0.0	False	0		0	0
159	159	GO:0000961 negative regulation of mitochondrial RNA catabolic process	0.0	False	0		0	0
160	160	GO:0000962 positive regulation of mitochondrial RNA catabolic process	171.0	True	1	[171]	1	28
161	161	GO:0000963 mitochondrial RNA processing	0.0	False	0		0	0
162	162	GO:0000964 mitochondrial RNA 5'-end processing	0.0	False	0		0	0
163	163	GO:0000965 mitochondrial RNA 3'-end processing	0.0	False	0		0	0
164	164	GO:0000966 RNA 5'-end processing	0.0	False	0		0	0
165	165	GO:0000968 tRNA exon ligation	0.0	False	0		0	0
166	166	GO:0000971 tRNA exon ligation utilizing 2',3' cyclic phosphate of 5'-exon as source of linkage phosphate	0.0	False	0		0	0
167	167	GO:0000972 transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery	0.0	False	0		0	0
168	168	GO:0000973 posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery	0.0	False	0		0	0
169	169	GO:0001080 nitrogen catabolite activation of transcription from RNA polymerase II promoter	0.0	False	0		0	0
170	170	GO:0001100 negative regulation of exit from mitosis	0.0	False	0		0	0
171	171	GO:0001101 response to acid chemical	0.0	False	0		0	0
172	172	GO:0001112 DNA-templated transcription open complex formation	0.0	False	0		0	0
173	173	GO:0001113 transcription open complex formation at RNA polymerase II promoter	0.0	False	0		0	0
174	174	GO:0001120 protein-DNA complex remodeling	0.0	False	0		0	0
175	175	GO:0001171 reverse transcription	0.0	False	0		0	0
176	176	GO:0001172 transcription, RNA-templated	0.0	False	0		0	0
177	177	GO:0001173 DNA-templated transcriptional start site selection	0.0	False	0		0	0
178	178	GO:0001174 transcriptional start site selection at RNA polymerase II promoter	0.0	False	0		0	0
179	179	GO:0001188 RNA polymerase I preinitiation complex assembly	0.0	False	0		0	0
180	180	GO:0001192 maintenance of transcriptional fidelity during DNA-templated transcription elongation	0.0	False	0		0	0
181	181	GO:0001193 maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase II promoter	0.0	False	0		0	0
182	182	GO:0001207 histone displacement	0.0	False	0		0	0
183	183	GO:0001306 age-dependent response to oxidative stress	0.0	False	0		0	0
184	184	GO:0001315 age-dependent response to reactive oxygen species	0.0	False	0		0	0
185	185	GO:0001325 formation of extrachromosomal circular DNA	72.0	True	1	[72]	1	1
186	186	GO:0001501 skeletal system development	0.0	False	0		0	0
187	187	GO:0001502 cartilage condensation	5.0	False	0		0	0
188	188	GO:0001503 ossification	0.0	False	0		0	0
189	189	GO:0001504 neurotransmitter uptake	0.0	False	0		0	0
190	190	GO:0001505 regulation of neurotransmitter levels	0.0	False	0		0	0
191	191	GO:0001507 acetylcholine catabolic process in synaptic cleft	0.0	False	0		0	0
192	192	GO:0001508 action potential	0.0	False	0		0	0
193	193	GO:0001510 RNA methylation	0.0	False	0		0	0
194	194	GO:0001514 selenocysteine incorporation	0.0	False	0		0	0
195	195	GO:0001516 prostaglandin biosynthetic process	0.0	False	0		0	0
196	196	GO:0001519 peptide amidation	0.0	False	0		0	0
197	197	GO:0001522 pseudouridine synthesis	0.0	False	0		0	0
198	198	GO:0001523 retinoid metabolic process	0.0	False	0		0	0
199	199	GO:0001525 angiogenesis	11.0	False	8	[4 1 1 1 1 1 1 1]	0	0
200	200	GO:0001539 cilium or flagellum-dependent cell motility	0.0	False	0		0	0
201	201	GO:0001541 ovarian follicle development	0.0	False	0		0	0
202	202	GO:0001542 ovulation from ovarian follicle	0.0	False	0		0	0
203	203	GO:0001543 ovarian follicle rupture	0.0	False	0		0	0
204	204	GO:0001544 initiation of primordial ovarian follicle growth	0.0	False	0		0	0
205	205	GO:0001545 primary ovarian follicle growth	0.0	False	0		0	0
206	206	GO:0001546 preantral ovarian follicle growth	0.0	False	0		0	0
207	207	GO:0001547 antral ovarian follicle growth	0.0	False	0		0	0
208	208	GO:0001550 ovarian cumulus expansion	0.0	False	0		0	0
209	209	GO:0001552 ovarian follicle atresia	0.0	False	0		0	0
210	210	GO:0001553 luteinization	0.0	False	0		0	0
211	211	GO:0001554 luteolysis	0.0	False	0		0	0
212	212	GO:0001555 oocyte growth	0.0	False	0		0	0
213	213	GO:0001556 oocyte maturation	0.0	False	0		0	0
214	214	GO:0001558 regulation of cell growth	0.0	False	0		0	0
215	215	GO:0001560 regulation of cell growth by extracellular stimulus	0.0	False	0		0	0
216	216	GO:0001561 fatty acid alpha-oxidation	0.0	False	0		0	0
217	217	GO:0001562 response to protozoan	0.0	False	0		0	0
218	218	GO:0001568 blood vessel development	0.0	False	0		0	0
219	219	GO:0001569 branching involved in blood vessel morphogenesis	0.0	False	0		0	0
220	220	GO:0001570 vasculogenesis	12.0	False	11	[2 1 1 1 1 1 1 1 1 1 1]	0	0
221	221	GO:0001572 lactosylceramide biosynthetic process	0.0	False	0		0	0
222	222	GO:0001573 ganglioside metabolic process	0.0	False	0		0	0
223	223	GO:0001574 ganglioside biosynthetic process	0.0	False	0		0	0
224	224	GO:0001576 globoside biosynthetic process	0.0	False	0		0	0
225	225	GO:0001578 microtubule bundle formation	10.0	False	10	[1 1 1 1 1 1 1 1 1 1]	0	0
226	226	GO:0001579 medium-chain fatty acid transport	0.0	False	0		0	0
227	227	GO:0001580 detection of chemical stimulus involved in sensory perception of bitter taste	0.0	False	0		0	0
228	228	GO:0001581 detection of chemical stimulus involved in sensory perception of sour taste	0.0	False	0		0	0
229	229	GO:0001582 detection of chemical stimulus involved in sensory perception of sweet taste	0.0	False	0		0	0
230	230	GO:0001649 osteoblast differentiation	0.0	False	0		0	0
231	231	GO:0001654 eye development	0.0	False	0		0	0
232	232	GO:0001655 urogenital system development	0.0	False	0		0	0
233	233	GO:0001656 metanephros development	0.0	False	0		0	0
234	234	GO:0001657 ureteric bud development	0.0	False	0		0	0
235	235	GO:0001658 branching involved in ureteric bud morphogenesis	0.0	False	0		0	0
236	236	GO:0001659 temperature homeostasis	0.0	False	0		0	0
237	237	GO:0001660 fever generation	0.0	False	0		0	0
238	238	GO:0001661 conditioned taste aversion	0.0	False	0		0	0
239	239	GO:0001662 behavioral fear response	0.0	False	0		0	0
240	240	GO:0001666 response to hypoxia	0.0	False	0		0	0
241	241	GO:0001667 ameboidal-type cell migration	8.0	False	0		0	0
242	242	GO:0001672 regulation of chromatin assembly or disassembly	0.0	False	0		0	0
243	243	GO:0001675 acrosome assembly	0.0	False	0		0	0
244	244	GO:0001676 long-chain fatty acid metabolic process	0.0	False	0		0	0
245	245	GO:0001678 cellular glucose homeostasis	0.0	False	0		0	0
246	246	GO:0001680 tRNA 3'-terminal CCA addition	0.0	False	0		0	0
247	247	GO:0001682 tRNA 5'-leader removal	0.0	False	0		0	0
248	248	GO:0001692 histamine metabolic process	0.0	False	0		0	0
249	249	GO:0001694 histamine biosynthetic process	0.0	False	0		0	0
