id	key	label	domain	nes	num_domains	FDR
0	CHERP	3783	0	0.683001100251732	0.0	0.20749082608274494
1	ANKRD52	1005	0	1.5843759963531208	0.0	0.02603898213560216
2	PLEKHB1	3782	0	1.5144584570727695	0.0	0.03058732819045909
3	TMEM242	136	28	8.667763626095647	0.0	2.148999794216466e-09
4	CDC25B	3781	0	1.5144584570727695	0.0	0.03058732819045909
5	SAMD9	3780	0	1.5144584570727695	0.0	0.03058732819045909
6	MRPL23	3779	0	3.113035780665948	0.0	0.0007708399584641056
7	ATP5J	982	28	11.58681555232613	0.0	2.589312379367374e-12
8	OR3A1	3778	0	3.113035780665948	0.0	0.0007708399584641056
9	DKK1	3777	0	3.113035780665948	0.0	0.0007708399584641056
10	SDHAF2	3776	0	3.113035780665948	0.0	0.0007708399584641056
11	ZNF219	3775	0	3.113035780665948	0.0	0.0007708399584641056
12	SPATS2	3774	0	3.113035780665948	0.0	0.0007708399584641056
13	C16orf58	3773	0	3.113035780665948	0.0	0.0007708399584641056
14	SIM1	3772	0	3.113035780665948	0.0	0.0007708399584641056
15	KLF10	3771	0	3.113035780665948	0.0	0.0007708399584641056
16	COPE	3770	0	3.113035780665948	0.0	0.0007708399584641056
17	HCCS	3769	0	3.113035780665948	0.0	0.0007708399584641056
18	KRI1	3768	0	3.113035780665948	0.0	0.0007708399584641056
19	CMTR2	3767	1	1.590368689720404	9.0	0.02568214598353862
20	NUDCD1	503	1	25.9196725548109	40.0	1.2031712482399034e-26
21	PARP2	3766	1	11.197678111445956	31.0	6.3433969428698805e-12
22	MUS81	571	1	34.200382564028885	56.0	6.304017875708463e-35
23	USP34	3765	1	11.197678111445956	31.0	6.3433969428698805e-12
24	HIPK2	3764	0	1.8703605612208385	0.0	0.013478434074970055
25	NCOA1	555	0	4.311276210381195	0.0	4.883416762727617e-05
26	VPS26B	3763	0	1.8703605612208385	0.0	0.013478434074970055
27	SLC35F1	3762	0	1.8703605612208385	0.0	0.013478434074970055
28	C5orf15	3761	7	8.592125410301497	5.0	2.5578471561218183e-09
29	TMEM147	143	7	5.882063764468601	10.0	1.3120072518855783e-06
30	BSDC1	3760	7	7.693640010038299	5.0	2.02469676967529e-08
31	ZFX	17	7	5.468487782157957	11.0	3.4002607149410145e-06
32	MANBAL	3759	16	0.9916337347800434	2.0	0.10194507864026678
33	CDH6	949	16	2.0092589197459967	2.0	0.009789062024576908
34	C14orf166B	3758	16	0.9916337347800434	2.0	0.10194507864026678
35	ZNF770	3757	21	1.6861277410331823	1.0	0.020600238998463756
36	PPARGC1B	406	21	2.6331215615399213	1.0	0.0023274397026342947
37	NABP2	3756	21	1.6861277410331823	1.0	0.020600238998463756
38	ESRRA	3755	21	1.6861277410331823	1.0	0.020600238998463756
39	ALK	3754	42	1.2395802543222514	0.0	0.05759963689697147
40	CENPQ	941	42	1.2395802543222514	0.0	0.05759963689697147
41	ENGASE	3753	42	1.2395802543222514	0.0	0.05759963689697147
42	TMCO6	3752	42	1.2395802543222514	0.0	0.05759963689697147
43	FAM69B	3751	42	1.2395802543222514	0.0	0.05759963689697147
44	ORC2	3750	42	1.2395802543222514	0.0	0.05759963689697147
45	CDT1	3749	42	1.2395802543222514	0.0	0.05759963689697147
46	MICAL3	3748	0	0.8624821509826869	0.0	0.13725173687766762
47	CHMP7	931	21	2.8763560466321083	1.0	0.001329364121624506
48	SERHL2	3747	42	1.2395802543222514	0.0	0.05759963689697147
49	MYL1	3746	24	4.944280207333232	32.0	1.136893524038558e-05
50	CKAP2L	929	24	6.294296819547916	39.0	5.078122584932634e-07
51	C12orf36	3745	24	4.944280207333232	32.0	1.136893524038558e-05
52	ARID5A	3744	24	4.944280207333232	32.0	1.136893524038558e-05
53	C10orf128	3743	24	4.944280207333232	32.0	1.136893524038558e-05
54	TBCB	3742	24	4.944280207333232	32.0	1.136893524038558e-05
55	ZNF624	3741	24	4.944280207333232	32.0	1.136893524038558e-05
56	LSMD1	3740	24	4.944280207333232	32.0	1.136893524038558e-05
57	TUBB	3739	24	4.944280207333232	32.0	1.136893524038558e-05
58	TOX3	3738	5	4.800162942978437	2.0	1.5842986678051367e-05
59	CNOT1	916	5	6.50975057717836	2.0	3.0920707523024667e-07
60	COX11	3737	37	2.577518161509947	0.0	0.0026453420683798193
