gene	Nucleus	Nucleolus	Mitochondrion	Peroxisome	Endoplasmic reticulum	Cytoskeleton & Plasma membrane	Golgi & Endosome & Lysosome
18S_rRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28S_rRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45S_rRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5_8S_rRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5S_rRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7SK	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1BG-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2M-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AATBC	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AATK-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABALON	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA9-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD11-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD15-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000111.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000120.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000123.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000124.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002066.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002454.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002480.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003090.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003092.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004009.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004014.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004019.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004041.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004066.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004471.10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004540.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004540.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004791.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004988.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005009.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005009.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005013.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005062.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005082.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005150.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005152.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005264.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005537.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005550.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC006000.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC006007.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC006129.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC006129.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC006159.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC006196.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC006273.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007036.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007126.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007182.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007255.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007271.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007317.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007319.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007381.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007392.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007405.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007422.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007682.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007879.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007879.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007879.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007879.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007879.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007950.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC008063.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC008063.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC008079.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC008103.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC008132.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC008271.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC008278.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC008703.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC008753.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC008834.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC008937.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC009014.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC009133.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC009404.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC009411.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC009487.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC009495.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC009495.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC009506.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC009948.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC010091.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC010095.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC010127.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC010729.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC010761.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC011288.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC011523.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC011525.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC011558.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC011718.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC011738.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC011899.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC011997.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC012065.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC012074.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC012354.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC012456.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC012487.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC012668.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC012668.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC013275.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC016582.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC016683.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC016722.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC016735.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC016735.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC018647.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC018766.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC018804.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC018832.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC019100.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC019186.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC019330.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC019349.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC021188.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC021218.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC021224.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC022816.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC024560.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC024592.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC026167.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC026904.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC027119.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC051649.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC058791.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC061961.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC064865.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC067945.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC068039.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC068282.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC068490.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC068831.10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC069513.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC073072.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC073115.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC073115.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC073257.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC073283.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC074011.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC074117.10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC074286.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC074391.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC078851.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC078883.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC079135.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC079305.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC079612.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC079630.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC079630.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC079779.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC079807.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC083843.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC084082.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC084125.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC084809.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC087294.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC090627.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC091729.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC091814.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC092171.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC092171.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC092580.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC092625.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC092687.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
