"library_gene"," query_name","qGI_score","FDR","query_gene","query_type","SMF_library","SMF_query","metric(qGI_score+SMF_library)"
"A2ML1","C12orf49_136_min",-0.449049097368741,0.0234144289943921,"C12orf49","min",0.116589575706057,0.0772789189251666,-0.332459521662684
"A2ML1","VPS52_241_rich",-0.352369770905497,0.0316977630095573,"VPS52","rich",0.155020049270042,-1.41695529171255,-0.197349721635455
"A4GALT","ITGAV_121_rich",-0.294021928480223,0.0878364544004458,"ITGAV","rich",-0.178806504985707,-0.731115150724097,-0.47282843346593
"A4GALT","USP14_142_min",-0.426019541511261,0.0924309286226035,"USP14","min",-0.174261690035151,-0.520178180583785,-0.600281231546412
"AAAS","APOB_341_rich",-0.473403121080599,0.0601768016142975,"APOB","rich",-0.298922085053892,0.0590918843267113,-0.772325206134491
"AAAS","EXO1_384_rich",-0.619762727887007,0.0192415309548195,"EXO1","rich",-0.298922085053892,-0.877213474586075,-0.918684812940899
"AARS2","CCDC101_062_min",-0.275348237412828,0.00618705752768907,"CCDC101","min",-0.353840277474914,-0.460855911737687,-0.629188514887742
"AARS2","EHMT2_156_min",-0.338558471498539,0.00679784396945903,"EHMT2","min",-0.353840277474914,-0.731059921618947,-0.692398748973453
"AARS2","ITGAV_121_rich",-0.631590026757911,0.000404262820671945,"ITGAV","rich",-0.421610519671569,-0.731115150724097,-1.05320054642948
"AARS2","LAMTOR4_394_rich",-0.132670164203375,0.0149982035664424,"LAMTOR4","rich",-0.421610519671569,-0.253198824248195,-0.554280683874944
"AARS2","LIG4_170_min",-0.22747631295755,0.00581829656156791,"LIG4","min",-0.353840277474914,-0.649059089438068,-0.581316590432464
"AARS2","PIGA_330_rich",-0.290127378730616,0.0304670358818176,"PIGA","rich",-0.421610519671569,-0.0410740298416923,-0.711737898402185
"AARS2","SIN3A_155_min",-0.284331781609914,0.051716080527189,"SIN3A","min",-0.353840277474914,-1.29607499812661,-0.638172059084828
"AASS","FLCN_144_min",-0.420859643207402,0.0474694773585118,"FLCN","min",-0.0330969250253053,-0.148253399551714,-0.453956568232707
"ABCA1","PDCD10_327_rich",-0.380407123592648,0.0316375333823839,"PDCD10","rich",-0.101901614766826,0.433512480510617,-0.482308738359474
"ABCA2","NAT6_214_rich",-0.407502444057757,0.0908701761942405,"NAT6","rich",-0.201619250957072,-0.246636192827681,-0.609121695014829
"ABCA3","LAMTOR4_394_rich",-0.380265273022893,0.0681848111509958,"LAMTOR4","rich",-0.165483202075764,-0.253198824248195,-0.545748475098657
"ABCA3","TMEM126A_309_rich",-0.441821019474017,0.0353859344241699,"TMEM126A","rich",-0.165483202075764,-0.411480154104907,-0.607304221549781
"ABCA4","SLC4A2_078_min",-0.598624487282972,0.0495324210980168,"SLC4A2","min",0.147306473856703,0.280901244384857,-0.451318013426269
"ABCB1","CCDC101_062_min",-0.32081662329694,0.052273146465664,"CCDC101","min",-0.0574762789228859,-0.460855911737687,-0.378292902219826
"ABCB1","CCT3_370_rich",-0.465298790228721,0.0154843107858183,"CCT3","rich",-0.000261704536671696,-2.79645883676588,-0.465560494765393
"ABCB1","WDR73_125_min",-0.502694216610308,0.0516431961611255,"WDR73","min",-0.0574762789228859,-1.53611327177983,-0.560170495533194
"ABCB11","PPOX_185_min",-0.420794253314302,0.0643338497908486,"PPOX","min",-0.112142954344961,-0.301465218721775,-0.532937207659263
"ABCB11","VHL_034_min",-0.469410943784094,0.0449397419274503,"VHL","min",-0.112142954344961,-3.09824856242885,-0.581553898129055
"ABCB4","PC_219_rich",-0.291120094181267,0.0970921899010348,"PC","rich",-0.0522472163475827,-0.36801423322917,-0.34336731052885
"ABCB6","ACTB_165_min",-0.446369287756257,0.043590159060979,"ACTB","min",0.0781294014192904,-1.3059780764272,-0.368239886336967
"ABCB6","FANCG_192_min",-0.419808356012607,0.0384576422321674,"FANCG","min",0.0781294014192904,-1.52751475465707,-0.341678954593317
"ABCC1","BRCC3_318_rich",-0.570175528427733,0.0459254281036039,"BRCC3","rich",0.152786216290337,-0.358972161135613,-0.417389312137396
"ABCC1","FASN_004_min",-0.330183584118903,0.0045362246409289,"FASN","min",0.233176545917834,-0.51017025850959,-0.097007038201069
"ABCC1","MPV17_230_rich",-0.31103978048511,0.0723151694796456,"MPV17","rich",0.152786216290337,-0.00776413827152112,-0.158253564194773
"ABCC1","NAA30_351_rich",-0.240305446697101,0.0738413634911862,"NAA30","rich",0.152786216290337,-1.63469954381974,-0.087519230406764
"ABCC1","PDK1_006_min",-0.549576156934337,0.00224025021497682,"PDK1","min",0.233176545917834,-0.06456099499264,-0.316399611016503
"ABCC1","PPOX_185_min",-0.644314170284247,0.0171371952284134,"PPOX","min",0.233176545917834,-0.301465218721775,-0.411137624366413
"ABCC11","GSK3B_237_rich",-0.561697144608618,0.00892098210356772,"GSK3B","rich",0.00779933783328004,0.119634907204445,-0.553897806775338
"ABCC11","LATS1_399_rich",-0.543419973727056,0.0087219958318539,"LATS1","rich",0.00779933783328004,0.075636885141237,-0.535620635893776
"ABCC11","NDUFA2_159_rich",-0.463735186403821,0.0224916878603119,"NDUFA2","rich",0.00779933783328004,-1.40559869482585,-0.455935848570541
"ABCC11","PARP1_364_rich",-0.446164506022289,0.0937799710571821,"PARP1","rich",0.00779933783328004,-0.70248917605682,-0.438365168189009
"ABCC11","PC_219_rich",-0.374433301748169,0.0680483064882591,"PC","rich",0.00779933783328004,-0.36801423322917,-0.366633963914889
"ABCC11","PIGA_330_rich",-0.331420537826361,0.074499222936282,"PIGA","rich",0.00779933783328004,-0.0410740298416923,-0.323621199993081
"ABCC11","SLC25A32_259_rich",-0.433399367532084,0.0364851564100761,"SLC25A32","rich",0.00779933783328004,-0.635877749005006,-0.425600029698804
"ABCC11","TMEM126A_309_rich",-0.511337221386905,0.00419662546757282,"TMEM126A","rich",0.00779933783328004,-0.411480154104907,-0.503537883553625
"ABCC2","ALG12_122_min",-0.426376293243348,0.0703959673840469,"ALG12","min",-0.0209774126065072,-0.614312267900159,-0.447353705849855
"ABCC2","USP15_014_min",-0.451166790101741,0.0330333367889751,"USP15","min",-0.0209774126065072,-0.728172493989369,-0.472144202708248
"ABCC9","FANCA_353_rich",-0.360594144697452,0.089334755819017,"FANCA","rich",0.169984336909795,-1.11865993915876,-0.190609807787657
"ABCC9","LIG4_170_min",-0.199617548946594,0.0433932237416546,"LIG4","min",0.218583426752878,-0.649059089438068,0.018965877806284
"ABCC9","PPOX_185_min",-0.541588589734892,0.0203202056781386,"PPOX","min",0.218583426752878,-0.301465218721775,-0.323005162982014
"ABCD1","ACTB_165_min",-0.391067463040465,0.0928519105536062,"ACTB","min",-0.0129483298904149,-1.3059780764272,-0.40401579293088
"ABCD1","C17orf53_361_rich",-0.442396831216684,0.0701754813213804,"C17orf53","rich",0.0080236896541261,-0.966780469930334,-0.434373141562558
"ABCD1","SLX1_239_rich",-0.446827418719718,0.0359627358673305,"SLX1","rich",0.0080236896541261,0,-0.438803729065592
"ABCD1","VPS52_241_rich",-0.380346782083336,0.0549617229123399,"VPS52","rich",0.0080236896541261,-1.41695529171255,-0.37232309242921
"ABCD3","EMC2_276_rich",-0.437862928065275,0.0487416385951927,"EMC2","rich",-0.30386988124987,-1.09077107715189,-0.741732809315145
"ABCD3","FASN_004_min",-0.463465127563093,0.00792086290721427,"FASN","min",-0.296989635978995,-0.51017025850959,-0.760454763542088
"ABCD3","MGAT1_116_min",-0.253207980287365,0.0797262263788258,"MGAT1","min",-0.296989635978995,-0.513177188651783,-0.55019761626636
"ABCD4","BCL2_338_rich",-0.378905484013951,0.00667712428684238,"BCL2","rich",-0.110779876707857,-0.394783758374041,-0.489685360721808
"ABCD4","CDKN2A_273_rich",-0.36437989846998,0.0928248845160752,"CDKN2A","rich",-0.110779876707857,0.0556155892104421,-0.475159775177837
"ABCD4","CDKN2B_306_rich",-0.328586806683604,0.0344536469651095,"CDKN2B","rich",-0.110779876707857,0.00578030725876051,-0.439366683391461
"ABCD4","PC_219_rich",-0.272673982816242,0.00810498289312282,"PC","rich",-0.110779876707857,-0.36801423322917,-0.383453859524099
"ABCD4","PELO_295_rich",-0.331944722313857,0.0183604846559425,"PELO","rich",-0.110779876707857,-1.69324653068401,-0.442724599021714
"ABCD4","SLC25A32_259_rich",-1.57939879047473,7.11738929203766e-10,"SLC25A32","rich",-0.110779876707857,-0.635877749005006,-1.69017866718259
"ABCG5","RGP1_223_rich",-0.609552712480178,0.0358082157324499,"RGP1","rich",-0.19700229977835,-0.544117389981908,-0.806555012258528
"ABCG8","GEN1_075_min",-0.522663376833441,0.0927182022804549,"GEN1","min",-0.185916309401878,-0.458549502730544,-0.708579686235319
"ABCG8","PQLC1_100_min",-0.499760127004432,0.0533318058325035,"PQLC1","min",-0.185916309401878,0.0159663498211002,-0.68567643640631
"ABHD16A","LIG4_170_min",-0.435978991261157,0.0232697985279817,"LIG4","min",-0.464482078800416,-0.649059089438068,-0.900461070061573
"ABHD16A","PC_219_rich",-0.520217184006377,0.0412911019137199,"PC","rich",-0.263001178849397,-0.36801423322917,-0.783218362855774
"ABHD16A","PELO_295_rich",-0.424550555567137,0.0915503317286913,"PELO","rich",-0.263001178849397,-1.69324653068401,-0.687551734416534
"ABL1","BLM_390_rich",-0.45785477204205,0.0554500854683109,"BLM","rich",-0.217759929202108,-1.17410616181416,-0.675614701244158
"ABL1","MUS81_360_rich",-0.615191976869952,0.045021472116157,"MUS81","rich",-0.217759929202108,-0.637213757974631,-0.83295190607206
"ABL1","SLC16A3_005_min",-0.528046567258867,0.00501896276781271,"SLC16A3","min",-0.170722050184263,-0.0551379858915966,-0.69876861744313
"ACAD8","CCT3_370_rich",-0.379208608936439,0.0719215640553042,"CCT3","rich",0.0933289632851191,-2.79645883676588,-0.28587964565132
"ACAD8","DLAT_321_rich",-0.446754541137375,0.020000760678316,"DLAT","rich",0.0933289632851191,-0.138169888702848,-0.353425577852256
"ACAD8","HEATR5B_406_rich",-0.360362271407421,0.0808295755432003,"HEATR5B","rich",0.0933289632851191,-0.234549313609671,-0.267033308122302
"ACAD8","NAA35_206_rich",-0.452345469486747,0.0219361526086,"NAA35","rich",0.0933289632851191,-1.52930018734108,-0.359016506201628
"ACADM","AKT1_380_rich",-0.491476022849327,0.0576615278911181,"AKT1","rich",-0.330426819894648,-0.297690049731002,-0.821902842743975
"ACADM","POLR2A_395_rich",-0.630295899937588,0.000123857455786354,"POLR2A","rich",-0.330426819894648,-0.723743903151917,-0.960722719832236
"ACADM","SLC16A3_005_min",-0.509666315144483,0.0479687297557272,"SLC16A3","min",-0.517134900915668,-0.0551379858915966,-1.02680121606015
"ACADSB","FCHO2_323_rich",-0.553534355920538,0.0290249224855599,"FCHO2","rich",0.0935224382172264,-0.313880132529265,-0.460011917703312
"ACADVL","EMC6_231_rich",-0.503780487125105,0.0327537142068081,"EMC6","rich",-0.211013394332429,-1.17285180151228,-0.714793881457534
"ACADVL","FLCN_144_min",-0.481605675920588,0.0922627652049939,"FLCN","min",-0.213701461031416,-0.148253399551714,-0.695307136952004
"ACADVL","USP10_013_min",-0.514617982065933,0.0876982485313958,"USP10","min",-0.213701461031416,-0.751852845586228,-0.728319443097349
"ACAT2","ACACA_031_min",-0.541130267170487,0.0780543859075207,"ACACA","min",-0.00865970105251258,-0.497981818753517,-0.549789968223
"ACAT2","ATP5L_334_rich",-0.265060837936313,0.0660927862621503,"ATP5L","rich",-0.0190212504839672,-0.733990543864709,-0.28408208842028
"ACAT2","BLM_390_rich",-0.288473930323585,0.0938113683195177,"BLM","rich",-0.0190212504839672,-1.17410616181416,-0.307495180807552
"ACAT2","CDKN2A_273_rich",-0.378739983499552,0.0779840266596934,"CDKN2A","rich",-0.0190212504839672,0.0556155892104421,-0.397761233983519
"ACAT2","DNMT3A_339_rich",-0.288366687526667,0.0970641691354259,"DNMT3A","rich",-0.0190212504839672,-0.0974619360324646,-0.307387938010634
"ACAT2","EXT2_319_rich",-0.439921401056985,0.0230742647996103,"EXT2","rich",-0.0190212504839672,-0.508114710744366,-0.458942651540952
"ACAT2","FASN_004_min",-1.27402240990773,5.97258974601111e-12,"FASN","min",-0.00865970105251258,-0.51017025850959,-1.28268211096024
"ACAT2","FCHO2_323_rich",-0.494567587325286,0.00728163068364073,"FCHO2","rich",-0.0190212504839672,-0.313880132529265,-0.513588837809253
"ACAT2","LAMTOR4_394_rich",-0.53497596206826,0.0412026953511397,"LAMTOR4","rich",-0.0190212504839672,-0.253198824248195,-0.553997212552227
"ACAT2","LDLR_195_min",-2.25702656157575,1.89227746393253e-22,"LDLR","min",-0.00865970105251258,-0.751209552977006,-2.26568626262826
"ACAT2","PIGA_330_rich",-0.514065927111849,0.0019550457687319,"PIGA","rich",-0.0190212504839672,-0.0410740298416923,-0.533087177595816
"ACAT2","PIGO_123_min",-0.487099898944553,0.00707660063963741,"PIGO","min",-0.00865970105251258,-1.29069723448006,-0.495759599997066
"ACAT2","PSMC5_315_rich",-0.454215407152135,0.00516677443393266,"PSMC5","rich",-0.0190212504839672,-2.73112417910654,-0.473236657636102
"ACAT2","RIC1_382_rich",-1.05791588641481,5.27240513897697e-09,"RIC1","rich",-0.0190212504839672,0,-1.07693713689878
"ACAT2","SHROOM2_284_rich",-0.29669857822649,0.0816818776756642,"SHROOM2","rich",-0.0190212504839672,0.256273293022302,-0.315719828710457
"ACAT2","SLC25A32_259_rich",-0.621073890208659,2.80383474858181e-05,"SLC25A32","rich",-0.0190212504839672,-0.635877749005006,-0.640095140692626
"ACAT2","TCP1_369_rich",-0.48307295285066,0.00911473433284616,"TCP1","rich",-0.0190212504839672,-2.73409055380542,-0.502094203334627
"ACAT2","UAP1L1_119_min",-0.318924569716882,0.0612338371432603,"UAP1L1","min",-0.00865970105251258,-0.054318062158245,-0.327584270769395
"ACAT2","VPS52_241_rich",-0.723533367086755,6.89535330188084e-07,"VPS52","rich",-0.0190212504839672,-1.41695529171255,-0.742554617570722
"ACAT2","VPS54_271_rich",-0.264843012044594,0.0959824108610801,"VPS54","rich",-0.0190212504839672,-0.987791895975991,-0.283864262528561
"ACBD5","FASN_004_min",-0.280198893438162,0.0920791327400014,"FASN","min",0.153206995212772,-0.51017025850959,-0.12699189822539
"ACBD5","NDUFA2_159_rich",-0.406273580253442,0.0658924867918027,"NDUFA2","rich",0.087463856565463,-1.40559869482585,-0.318809723687979
"ACBD5","PDK1_006_min",-0.471342604574724,0.0452343572820373,"PDK1","min",0.153206995212772,-0.06456099499264,-0.318135609361952
"ACBD6","MPV17_230_rich",-0.477104496381685,0.0676851311451973,"MPV17","rich",-0.13679506266492,-0.00776413827152112,-0.613899559046605
"ACBD6","NAA35_206_rich",-0.601085182750222,0.0118774263124825,"NAA35","rich",-0.13679506266492,-1.52930018734108,-0.737880245415142
"ACD","ATG9A_254_rich",-0.344041692143247,0.0831670028334761,"ATG9A","rich",-0.30402820856132,-0.966409186637981,-0.648069900704567
"ACD","CCDC101_062_min",-0.581376301583896,0.0251279529242526,"CCDC101","min",-0.458085143807249,-0.460855911737687,-1.03946144539115
"ACD","EMC6_231_rich",-0.425294210662609,0.0825699059084608,"EMC6","rich",-0.30402820856132,-1.17285180151228,-0.729322419223929
"ACD","NAA35_206_rich",-0.544495811542874,0.0611233318087491,"NAA35","rich",-0.30402820856132,-1.52930018734108,-0.848524020104194
"ACD","RPS6KB1_164_min",-0.754889996843824,0.0411026120238703,"RPS6KB1","min",-0.458085143807249,-1.05303626409442,-1.21297514065107
"ACE","C1orf112_393_rich",-0.211252015125041,0.041011101834175,"C1orf112","rich",-0.170970933739121,-0.666320228375642,-0.382222948864162
"ACE","KIAA0196_301_rich",-0.217373049489586,0.0833706978860077,"KIAA0196","rich",-0.170970933739121,-0.229301987149054,-0.388343983228707
"ACE","PDCD5_189_min",-0.417860746053562,0.0855396388706159,"PDCD5","min",-0.192830757403797,-1.75296651304475,-0.610691503457359
"ACE","TSC22D2_350_rich",-0.432417265515327,0.0894743162034629,"TSC22D2","rich",-0.170970933739121,-0.640013803757435,-0.603388199254448
"ACER3","APOB_341_rich",-0.301624882350651,0.0932605094403,"APOB","rich",-0.262526831570999,0.0590918843267113,-0.56415171392165
"ACER3","RER1_324_rich",-0.362053519917028,0.0628419324170438,"RER1","rich",-0.262526831570999,-0.650084666465513,-0.624580351488027
"ACKR3","EXO1_384_rich",-0.444576531047804,0.0365838252028755,"EXO1","rich",0.172307637821283,-0.877213474586075,-0.272268893226521
"ACKR3","FLCN_144_min",-0.452956838222274,0.0528186864184002,"FLCN","min",0.129708929550899,-0.148253399551714,-0.323247908671375
"ACOX1","CDKN2B_306_rich",-0.637629687512293,0.00250022842141145,"CDKN2B","rich",-0.0257018789083227,0.00578030725876051,-0.663331566420616
"ACP2","APOB_341_rich",-0.523623082538746,0.0141456691227085,"APOB","rich",-0.430435704684311,0.0590918843267113,-0.954058787223057
"ACP2","LUZP1_283_rich",-0.470493441976217,0.0776767473154703,"LUZP1","rich",-0.430435704684311,0.25280454635215,-0.900929146660528
"ACP2","TMEM126A_309_rich",-0.598234379569695,0.0427598672735273,"TMEM126A","rich",-0.430435704684311,-0.411480154104907,-1.02867008425401
"ACPT","CDKN2B_306_rich",-0.398582181322569,0.0765929688714869,"CDKN2B","rich",-0.199512099360403,0.00578030725876051,-0.598094280682972
"ACPT","NAA38_224_rich",-0.737778123482551,0.00897570927136414,"NAA38","rich",-0.199512099360403,-2.31436169672078,-0.937290222842954
"ACRC","EMC6_231_rich",-0.701777541537039,0.0214725265531091,"EMC6","rich",0.152977065739799,-1.17285180151228,-0.54880047579724
"ACSF3","BIRC6_056_min",-0.597100646826829,0.0838821749824231,"BIRC6","min",-0.371009417737904,-0.0438242456221431,-0.968110064564733
"ACSF3","CCDC101_062_min",-0.474053863882353,0.078698726646786,"CCDC101","min",-0.371009417737904,-0.460855911737687,-0.845063281620257
"ACSF3","COQ9_279_rich",-0.725359887065022,0.0252109319639551,"COQ9","rich",-0.337239900586071,-0.534292109100405,-1.06259978765109
"ACSF3","NSUN3_071_min",-0.844435432947127,0.00606624298112705,"NSUN3","min",-0.371009417737904,-1.28467444203326,-1.21544485068503
"ACSF3","PFN2_215_rich",-0.774121859892491,0.0423165243186852,"PFN2","rich",-0.337239900586071,-0.0137573634329587,-1.11136176047856
"ACSF3","PTPN11_163_min",-0.724836038836712,0.00495371413409208,"PTPN11","min",-0.371009417737904,-0.666460375769746,-1.09584545657462
"ACSL4","FASN_004_min",-0.448168186071881,0.0846076772538713,"FASN","min",-0.0854796047047088,-0.51017025850959,-0.53364779077659
"ACSL4","HDAC2_172_min",-0.30004734076226,0.0957191036690167,"HDAC2","min",-0.0854796047047088,-0.484715505523328,-0.385526945466969
"ACSL4","VPS52_241_rich",-0.701538045508493,0.00347194117782182,"VPS52","rich",-0.138055598479498,-1.41695529171255,-0.839593643987991
"ACTA1","ACTB_165_min",-0.407439081407531,0.056501203526491,"ACTB","min",-0.150971750972531,-1.3059780764272,-0.558410832380062
"ACTA1","TAPT1_141_min",-0.418495699689363,0.0789700598569434,"TAPT1","min",-0.150971750972531,-0.968740270231911,-0.569467450661894
"ACTC1","RB1CC1_077_min",-0.545800308249042,0.0782413476660844,"RB1CC1","min",-0.27120069629963,-0.849717556663107,-0.817001004548672
"ACTC1","SETDB1_329_rich",-0.272454852205222,0.0429535333959972,"SETDB1","rich",-0.216319346611218,-0.106186400751038,-0.48877419881644
"ACTC1","SMARCC1_160_min",-0.568721476850839,0.0373022613830004,"SMARCC1","min",-0.27120069629963,-0.952246574410398,-0.839922173150469
"ACTG2","ACTB_165_min",-0.725981959434697,5.87531549223505e-05,"ACTB","min",-0.438300399203157,-1.3059780764272,-1.16428235863785
"ACTG2","KIAA0196_301_rich",-0.306076116242979,0.069785764118555,"KIAA0196","rich",-0.355286508177306,-0.229301987149054,-0.661362624420285
